,Subphylum,Class,Order,Family,Genus,UNITE
OTU51Rhizophagus,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,10.15156/BIO/SH175573.07FU
OTU70Claroideoglomus,Glomeromycotina,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,10.15156/BIO/SH023619.07FU
OTU166Rhizophagus,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,10.15156/BIO/SH001082.07FU
OTU150Rhizophagus,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,10.15156/BIO/SH175576.07FU
OTU253Funneliformis,Glomeromycotina,Glomeromycetes,Glomerales, ,Funneliformis,10.15156/BIO/SH184270.07FU
OTU118Rhizophagus,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,10.15156/BIO/SH175585.07FU
OTU161Rhizophagus,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,10.15156/BIO/SH496709.07FU
OTU132Rhizophagus,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,10.15156/BIO/SH001121.07FU
OTU133Glomus,Glomeromycotina,Glomeromycetes,_,_,_,10.15156/BIO/SH524085.07FU
OTU206Glomus,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Glomus,10.15156/BIO/SH176113.07FU
OTU213Rhizophagus,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,10.15156/BIO/SH001112.07FU
OTU935Rhizophagus,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,10.15156/BIO/SH175573.07FU
OTU126Glomus,Glomeromycotina,Glomeromycetes,_,_,_,10.15156/BIO/SH524085.07FU
OTU251Rhizophagus,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,_,10.15156/BIO/SH175585.07FU
OTU558Funneliformis,Glomeromycotina,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,10.15156/BIO/SH184268.07FU
