ID,ID1,ID2,Arbuscular_mycorrhizal_OTU_RA,Arbuscular_mycorrhizal_trans_RA,Arbuscular_mycorrhizal_trans,Block,Compartment,Treat,Week
TP3R5,SRR8743058,0622162R05,0.017879011,0.006860358,0.0002522,Block 05,Root,Preflowering,3
TP3R13,SRR8743059,0622162R13,0.015805113,0.016016468,0.00016184,Block 13,Root,Preflowering,3
TP3R18,SRR8743060,0622162R18,0.032855844,0.030194957,0.00015392,Block 18,Root,Preflowering,3
TP4R5,SRR8743061,0629164R05,0.00304784,0.011629466,0.0000902,Block 05,Root,Preflowering,4
TP4R13,SRR8743062,0629164R13,0.001156812,0.01179741,0.0000435,Block 13,Root,Preflowering,4
TP4R18,SRR8743063,0629164R18,0.002508926,0.011491833,0.0000644,Block 18,Root,Preflowering,4
TP5R13,SRR8743064,0706165R13,0.001777269,0.007089348,0.0000695,Block 13,Root,Preflowering,5
TP5R18,SRR8743065,0706165R18,0.000684932,0.00561092,0.0000389,Block 18,Root,Preflowering,5
TP5R5,SRR8743066,0706165R05,0.004525569,0.006232908,0.0000898,Block 05,Root,Preflowering,5
TP6R13,SRR8743067,0713166R13,0.001930813,0.019914125,0.00018394,Block 13,Root,Preflowering,6
TP6R5,SRR8743068,0713166R05,0.005137912,0.031849834,0.00023139,Block 05,Root,Preflowering,6
TP6R18,SRR8743069,0713166R18,0.000800833,0.005355194,0.0000824,Block 18,Root,Preflowering,6
TP7R5,SRR8743070,0720167R05,0.002129887,0.017519359,0.00018491,Block 05,Root,Preflowering,7
TP8R13,SRR8743071,0727168R13,0.002252534,0.009837561,0.00010138,Block 13,Root,Preflowering,8
TP8R5,SRR8743072,0727168R05,0.000896621,0.007737322,0.0000902,Block 05,Root,Preflowering,8
TP8R18,SRR8743073,0727168R18,0.003117365,0.013731209,0.00011149,Block 18,Root,Preflowering,8
TP9R5,SRR8743074,0803169R05,0.005292861,0.018385544,0.00120264,Block 05,Root,Preflowering,9
TP9R13,SRR8743075,0803169R13,0.00926683,0.021230821,0.00061194,Block 13,Root,Preflowering,9
TP9R18,SRR8743076,0803169R18,0.015611193,0.010038212,0.00022726,Block 18,Root,Preflowering,9
TP10R13,SRR8743077,0810162R13,0.002722337,0.006535513,0.0002486,Block 13,Root,Preflowering,10
TP10R5,SRR8743078,0810162R05,0.007202707,0.014820564,0.00056881,Block 05,Root,Preflowering,10
TP10R18,SRR8743079,0810162R18,0.014778608,0.097847178,0.0033024,Block 18,Root,Preflowering,10
TP11R13,SRR8743080,0817163R13,0.005234134,0.006055964,0.00056772,Block 13,Root,Preflowering,11
TP11R5,SRR8743081,0817163R05,0.005228088,0.003813789,0.000487,Block 05,Root,Preflowering,11
TP11R18,SRR8743082,0817163R18,0.004112366,0.003163404,0.00047679,Block 18,Root,Preflowering,11
TP12R18,SRR8743083,0824164R18,0.006442633,0.008000834,0.00104972,Block 18,Root,Preflowering,12
TP12R13,SRR8743084,0824164R13,0.008343944,0.026184032,0.00295598,Block 13,Root,Preflowering,12
TP12R5,SRR8743085,0824164R05,0.005450305,0.014945712,0.00210806,Block 05,Root,Preflowering,12
TP13R13,SRR8743086,0831165R13,0.007184847,0.007616864,0.00063007,Block 13,Root,Preflowering,13
TP13R5,SRR8743087,0831165R05,0.01231909,0.035761046,0.0026166,Block 05,Root,Preflowering,13
TP13R18,SRR8743088,0831165R18,0.011057417,0.033129353,0.00277642,Block 18,Root,Preflowering,13
TP14R5,SRR8743089,0907166R05,0.01996082,0.0744426,0.00543211,Block 05,Root,Preflowering,14
TP15R5,SRR8743090,0914167R05,0.017395964,0.058218284,0.00627077,Block 05,Root,Preflowering,15
TP15R13,SRR8743091,0914167R13,0.007610854,0.004742974,0.00065889,Block 13,Root,Preflowering,15
TP16R5,SRR8743092,0921168R05,0.023369531,0.065349008,0.00783128,Block 05,Root,Preflowering,16
TP17R18,SRR8743093,0928169R18,0.014787048,0.062500434,0.00540478,Block 18,Root,Preflowering,17
TP17R13,SRR8743094,0928169R13,0.010131594,0.06182032,0.00637561,Block 13,Root,Preflowering,17
TP17R5,SRR8743095,0928169R05,0.013291265,0.102589165,0.0109238,Block 05,Root,Preflowering,17
TP9R3,SRR8743096,0803169R03,0.010398279,0.037602373,0.00594476,Block 03,Root,Postflowering,9
TP9R22,SRR8743097,0803169R22,0.004573436,0.01334927,0.00199157,Block 22,Root,Postflowering,9
TP9R16,SRR8743098,0803169R16,0.014706513,0.03540728,0.00593692,Block 16,Root,Postflowering,9
TP10R3,SRR8743099,0810162R03,0.00603886,0.025014816,0.00190616,Block 03,Root,Postflowering,10
TP10R22,SRR8743100,0810162R22,0.0033685,0.025931757,0.00303377,Block 22,Root,Postflowering,10
TP11R3,SRR8743102,0817163R03,0.005969825,0.029722157,0.00319191,Block 03,Root,Postflowering,11
TP11R22,SRR8743103,0817163R22,0.002968583,0.014411361,0.00325823,Block 22,Root,Postflowering,11
TP11R16,SRR8743104,0817163R16,0.003551663,0.021525905,0.00314835,Block 16,Root,Postflowering,11
TP12R22,SRR8743105,0824164R22,0.002856965,0.008522145,0.00205322,Block 22,Root,Postflowering,12
TP13R3,SRR8743106,0831165R03,0.003569835,0.01476452,0.00240437,Block 03,Root,Postflowering,13
TP13R16,SRR8743107,0831165R16,0.00213922,0.005288128,0.00228059,Block 16,Root,Postflowering,13
TP13R22,SRR8743108,0831165R22,0.000933469,0.002817116,0.00103794,Block 22,Root,Postflowering,13
TP14R22,SRR8743109,0907166R22,0.002327747,0.006244353,0.00221706,Block 22,Root,Postflowering,14
TP15R3,SRR8743110,0914167R03,0.002626679,0.002784573,0.00101659,Block 03,Root,Postflowering,15
TP15R16,SRR8743111,0914167R16,0.002588294,0.001675819,0.00050435,Block 16,Root,Postflowering,15
TP15R22,SRR8743112,0914167R22,0.000911874,0.002294066,0.00099837,Block 22,Root,Postflowering,15
TP16R22,SRR8743113,0921168R22,0.001548552,0.004222662,0.00150795,Block 22,Root,Postflowering,16
TP17R22,SRR8743114,0928169R22,0.000977433,0.006035562,0.00197885,Block 22,Root,Postflowering,17
TP17R3,SRR8743115,0928169R03,0.000964165,0.00538759,0.00084727,Block 03,Root,Postflowering,17
TP17R16,SRR8743116,0928169R16,0.002138656,0.011792892,0.00235498,Block 16,Root,Postflowering,17
TP2R12,SRR8743117,0615163R12,0.073866459,0.229728318,0.00505757,Block 12,Root,Control,2
TP2R20,SRR8743118,0615163R20,0.043800626,0.637577206,0.00520884,Block 20,Root,Control,2
TP2R1,SRR8743119,0615163R01,0.13948641,0.827513838,0.00736153,Block 01,Root,Control,2
TP3R12,SRR8743120,0622162R12,0.015802387,0.009215872,0.0000852,Block 12,Root,Control,3
TP3R20,SRR8743121,0622162R20,0.016397999,0.050380813,0.00062114,Block 20,Root,Control,3
TP3R1,SRR8743122,0622162R01,0.018714712,0.051920417,0.00029695,Block 01,Root,Control,3
TP4R12,SRR8743123,0629164R12,0.007190611,0.005929314,0.00053272,Block 12,Root,Control,4
TP4R20,SRR8743124,0629164R20,0.019866247,0.02833133,0.0010895,Block 20,Root,Control,4
TP4R1,SRR8743125,0629164R01,0.012960368,0.00724774,0.00012556,Block 01,Root,Control,4
TP5R1,SRR8743126,0706165R01,0.017787617,0.018473291,0.00065594,Block 01,Root,Control,5
TP5R20,SRR8743127,0706165R20,0.00674747,0.02004549,0.00202163,Block 20,Root,Control,5
TP5R12,SRR8743128,0706165R12,0.00983559,0.031519145,0.00129112,Block 12,Root,Control,5
TP6R12,SRR8743129,0713166R12,0.00725256,0.030470072,0.00362648,Block 12,Root,Control,6
TP6R20,SRR8743130,0713166R20,0.006766125,0.037240195,0.00528833,Block 20,Root,Control,6
TP6R1,SRR8743131,0713166R01,0.011704545,0.018309667,0.00105423,Block 01,Root,Control,6
TP7R12,SRR8743132,0720167R12,0.003603604,0.018169571,0.00186774,Block 12,Root,Control,7
TP8R12,SRR8743133,0727168R12,0.003719685,0.011772636,0.00157843,Block 12,Root,Control,8
TP8R20,SRR8743134,0727168R20,0.005450421,0.019514984,0.00297327,Block 20,Root,Control,8
TP8R1,SRR8743135,0727168R01,0.010213556,0.047205061,0.00557868,Block 01,Root,Control,8
TP9R20,SRR8743136,0803169R20,0.007211027,0.006206883,0.00124068,Block 20,Root,Control,9
TP9R12,SRR8743137,0803169R12,0.005000602,0.029532639,0.00414002,Block 12,Root,Control,9
TP9R1,SRR8743138,0803169R01,0.01310032,0.015903874,0.00223145,Block 01,Root,Control,9
TP10R20,SRR8743139,0810162R20,0.004708091,0.030664928,0.00271456,Block 20,Root,Control,10
TP10R12,SRR8743140,0810162R12,0.011606201,0.052807927,0.00463553,Block 12,Root,Control,10
