,Allreads,Micro_reads,Fungal_reads,Fungal_percent,AMF_reads,AMF_percent,Week,Treatment
0622162R05,18611093,2018256,74195,0.398660089,509,0.002734928,3,Pre_flowering_drought
0622162R13,19502206,2051351,20728,0.106285412,332,0.001702372,3,Pre_flowering_drought
0622162R18,21797064,2254402,11492,0.052722697,347,0.001591958,3,Pre_flowering_drought
0629164R05,11407794,1108417,8597,0.075360758,100,0.000876594,4,Pre_flowering_drought
0629164R13,25021280,2710391,9994,0.039942001,118,0.000471599,4,Pre_flowering_drought
0629164R18,21288999,2017866,11308,0.053116635,130,0.000610644,4,Pre_flowering_drought
0706165R13,28640048,2905756,28486,0.099462124,202,0.000705306,5,Pre_flowering_drought
0706165R18,31250170,3317803,23001,0.0736028,129,0.000412798,5,Pre_flowering_drought
0706165R05,18492114,1859467,26790,0.144872566,167,0.000903088,5,Pre_flowering_drought
0713166R13,14828861,1543969,14261,0.096170569,284,0.001915184,6,Pre_flowering_drought
0713166R05,16381714,1858358,13501,0.082415064,430,0.002624878,6,Pre_flowering_drought
0713166R18,18572655,2136902,32880,0.177034463,176,0.00094763,6,Pre_flowering_drought
0720167R05,20828377,2098369,22147,0.106330897,388,0.001862843,7,Pre_flowering_drought
0727168R13,28607844,3028213,31207,0.109085466,307,0.001073132,8,Pre_flowering_drought
0727168R05,32421562,3028105,35301,0.108881244,273,0.000842032,8,Pre_flowering_drought
0727168R18,22970296,2735550,22211,0.096694444,305,0.001327802,8,Pre_flowering_drought
0803169R05,24607974,3000903,196296,0.79769265,3609,0.014665978,9,Pre_flowering_drought
0803169R13,24547459,2436496,70227,0.286086637,1491,0.006073948,9,Pre_flowering_drought
0803169R18,18658365,1927304,43633,0.233852216,438,0.002347473,9,Pre_flowering_drought
0810162R13,27605020,2964613,112768,0.40850541,737,0.002669804,10,Pre_flowering_drought
0810162R05,24909064,2758381,105866,0.425009948,1569,0.006298912,10,Pre_flowering_drought
0810162R18,20583413,2299845,77621,0.377104613,7595,0.036898643,10,Pre_flowering_drought
0817163R13,26800393,3216372,301520,1.125058129,1826,0.006813333,11,Pre_flowering_drought
0817163R05,27776551,3519509,449422,1.617990657,1714,0.006170673,11,Pre_flowering_drought
0817163R18,18583144,3183777,479860,2.582232587,1518,0.008168693,11,Pre_flowering_drought
0824164R18,28966078,4154454,545069,1.881749404,4361,0.015055542,12,Pre_flowering_drought
0824164R13,49247678,5010517,565649,1.148580041,14811,0.030074514,12,Pre_flowering_drought
0824164R05,31695798,4546354,641252,2.02314515,9584,0.030237447,12,Pre_flowering_drought
0831165R13,22261345,2572717,212816,0.955988958,1621,0.00728168,13,Pre_flowering_drought
0831165R05,21678018,2421083,177148,0.817178028,6335,0.029223151,13,Pre_flowering_drought
0831165R18,16809106,2004377,167977,0.999321439,5565,0.033107055,13,Pre_flowering_drought
0907166R05,24663584,2913602,212607,0.862028,15827,0.064171533,14,Pre_flowering_drought
0914167R05,24132533,3548050,382164,1.583605003,22249,0.092195046,15,Pre_flowering_drought
0914167R13,5707682,3175018,441070,7.727655465,2092,0.036652357,15,Pre_flowering_drought
0921168R05,25189847,4634876,555432,2.204983619,36297,0.144093769,16,Pre_flowering_drought
0928169R18,20297787,3017143,260909,1.285406138,16307,0.080338807,17,Pre_flowering_drought
0928169R13,20317742,2779028,286604,1.410609506,17718,0.087204572,17,Pre_flowering_drought
0928169R05,25498476,3834276,408277,1.601181969,41885,0.164264719,17,Pre_flowering_drought
0803169R03,20360722,3199627,505846,2.484420739,19021,0.093420066,9,Post_flowering_drought
0803169R22,26391311,3065423,457328,1.732873369,6105,0.023132614,9,Post_flowering_drought
0803169R16,20349380,2509889,420845,2.068097406,14901,0.073225818,9,Post_flowering_drought
0810162R03,24596560,2764717,210674,0.856518147,5270,0.02142576,10,Post_flowering_drought
0810162R22,28185253,3672661,429667,1.524439039,11142,0.039531311,10,Post_flowering_drought
0817163R03,28896480,3798980,407978,1.411860545,12126,0.041963589,11,Post_flowering_drought
0817163R22,27698735,4515637,1020931,3.685839805,14713,0.053117949,11,Post_flowering_drought
0817163R16,19685681,3312844,484531,2.461337253,10430,0.052982673,11,Post_flowering_drought
0824164R22,30450034,5412949,1304130,4.282852361,11114,0.036499138,12,Post_flowering_drought
0831165R03,13893055,2453035,399472,2.875335914,5898,0.042452866,13,Post_flowering_drought
0831165R16,21584358,8355742,3603548,16.69518269,19056,0.088286156,13,Post_flowering_drought
0831165R22,22881974,6382843,2351702,10.27753113,6625,0.028952922,13,Post_flowering_drought
0907166R22,20673858,4741867,1683601,8.143622734,10513,0.05085166,14,Post_flowering_drought
0914167R03,22773686,6667399,2434128,10.68833565,6778,0.02976242,15,Post_flowering_drought
0914167R16,11150398,6562852,1975143,17.71365471,3310,0.029685039,15,Post_flowering_drought
0914167R22,16502026,6860164,2985516,18.09181491,6849,0.041503995,15,Post_flowering_drought
0921168R22,26134967,5734938,2047996,7.836229523,8648,0.033089768,16,Post_flowering_drought
0928169R22,20864272,4587000,1503915,7.208087586,9077,0.043504993,17,Post_flowering_drought
0928169R03,31439046,4531027,712563,2.266490529,3839,0.01221093,17,Post_flowering_drought
0928169R16,24703240,3987300,796244,3.223237114,9390,0.038011208,17,Post_flowering_drought
0615163R12,20648455,1941249,42737,0.206974323,9818,0.047548352,2,Control
0615163R20,22303866,1937667,15830,0.070974243,10093,0.045252245,2,Control
0615163R01,22202673,1827337,16256,0.07321641,13452,0.0605873,2,Control
0622162R12,19873567,1960663,18126,0.091206576,167,0.000840312,3,Control
0622162R20,20568154,2012426,24811,0.120628229,1250,0.006077356,3,Control
0622162R01,24417147,2124953,12153,0.0497724,631,0.00258425,3,Control
0629164R12,20588490,2115569,190074,0.92320515,1127,0.005473932,4,Control
0629164R20,17588112,1815512,69817,0.396955625,1978,0.011246233,4,Control
0629164R01,19052930,1736201,30078,0.157865483,218,0.001144181,4,Control
0706165R01,26426118,3256381,115626,0.437544402,2136,0.008082913,5,Control
0706165R20,46178688,3300804,332892,0.720877995,6673,0.014450389,5,Control
0706165R12,13093707,1657470,67895,0.518531536,2140,0.016343729,5,Control
0713166R12,22546758,2286516,272136,1.206985057,8292,0.036776906,6,Control
0713166R20,20501576,3124992,443768,2.164555544,16526,0.080608437,6,Control
0713166R01,19437145,1964473,113110,0.581927027,2071,0.010654857,6,Control
0720167R12,24313557,3545988,364509,1.499200631,6623,0.027239947,7,Control
0727168R12,24575322,2629824,352596,1.434756379,4151,0.016890928,8,Control
0727168R20,29203928,3637404,554190,1.897655685,10815,0.03703269,8,Control
0727168R01,21240626,3208104,379132,1.784937977,17897,0.084258345,8,Control
0803169R20,26585037,4508016,901098,3.38949312,5593,0.02103815,9,Control
0803169R12,22460659,2862064,401217,1.78631001,11849,0.052754463,9,Control
