,MEAN,ID,Class,Order,Family,Genus
OTU51,0.276766494,OTU51Rhizophagus,Glomeromycetes,Glomerales,Glomeraceae,Rhizoglomus
OTU70,0.113241081,OTU70Claroideoglomus,Glomeromycetes,Entrophosporales,Entrophosporaceae,Entrophospora
OTU166,0.173494762,OTU166Rhizophagus,Glomeromycetes,Glomerales,Glomeraceae,Rhizoglomus
OTU150,0.077133913,OTU150Rhizophagus,Glomeromycetes,Glomerales,Glomeraceae,Rhizoglomus
OTU253,0.008916875,OTU253Funneliformis,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis
OTU118,0.058666906,OTU118Rhizophagus,Glomeromycetes,Glomerales,Glomeraceae,Rhizoglomus
OTU161,0.059491653,OTU161Rhizophagus,Glomeromycetes,Glomerales,Glomeraceae,Rhizoglomus
OTU132,0.050002579,OTU132Rhizophagus,Glomeromycetes,Glomerales,Glomeraceae,Rhizoglomus
OTU133,0.026347989,OTU133Glomus,Glomeromycetes,Glomerales,Glomeraceae,Dominikia
OTU206,0.0027731,OTU206Glomus,Glomeromycetes,Glomerales,Glomeraceae,Dominikia
OTU213,0.028794634,OTU213Rhizophagus,Glomeromycetes,Glomerales,Glomeraceae,Rhizoglomus
OTU935,0.019289828,OTU935Rhizophagus,Glomeromycetes,Glomerales,Glomeraceae,Rhizoglomus
OTU126,0.016785852,OTU126Glomus,Glomeromycetes,Glomerales,Glomeraceae,Dominikia
OTU251,0.023806213,OTU251Rhizophagus,Glomeromycetes,Glomerales,Glomeraceae,Rhizoglomus
OTU558,0.001720562,OTU558Funneliformis,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis
OTU323,0.011469668,OTU323Glomus,Glomeromycetes,Glomerales,Glomeraceae,Dominikia
OTU224,0.000976925,OTU224Glomus,Glomeromycetes,Glomerales,Glomeraceae,Dominikia
OTU229,0.010688721,OTU229Glomus,Glomeromycetes,Glomerales,Glomeraceae,Dominikia
