,MEAN,ID_03,ID_04,ID_05,ID_06,ID_07,ID_08,ID_09,ID_10,ID_11,ID_12,ID_13
1,0.209364383,Glomeromycotina,Glomerales,Glomeraceae,Rhizophagus,Rhizophagus,irregularis,NA,NA,NA,NA,NA
2,0.184073996,Glomeromycotina,Glomerales,Claroideoglomeraceae,Claroideoglomus,Claroideoglomus,candidum,NA,NA,NA,NA,NA
3,0.265425656,Glomeromycotina,Glomerales,Glomeraceae,Rhizophagus,Rhizophagus,clarus,NA,NA,NA,NA,NA
4,0.101544759,Glomeromycotina,Glomerales,Glomeraceae,Glomus,Glomus,cerebriforme,NA,NA,NA,NA,NA
5,0.016877735,Glomeromycotina,Glomerales,Glomeraceae,Funneliformis,Funneliformis,mosseae,NA,NA,NA,NA,NA
6,0.010812237,Glomeromycotina,Archaeosporales,Geosiphonaceae,Geosiphon,Geosiphon,pyriformis,NA,NA,NA,NA,NA
7,0.010874012,Glomeromycotina,Diversisporales,Diversisporaceae,Diversispora,Diversispora,epigaea,NA,NA,NA,NA,NA
8,0.06278111,Glomeromycotina,Glomerales,Glomeraceae,Rhizophagus,Rhizophagus,sp,NA,MUCL,43196,NA,NA
9,0.02394652,Glomeromycotina,Glomerales,Glomeraceae,Funneliformis,Funneliformis,caledonium,NA,NA,NA,NA,NA
10,0.012238386,Glomeromycotina,Diversisporales,Acaulosporaceae,Acaulospora,Acaulospora,morrowiae,NA,NA,NA,NA,NA
11,0.004721385,Glomeromycotina,Diversisporales,Gigasporaceae,Gigaspora,Gigaspora,rosea,NA,NA,NA,NA,NA
12,0.007957913,Glomeromycotina,Archaeosporales,Ambisporaceae,Ambispora,Ambispora,gerdemannii,NA,NA,NA,NA,NA
13,0.027073033,Glomeromycotina,Archaeosporales,Ambisporaceae,Ambispora,Ambispora,leptoticha,NA,NA,NA,NA,NA
14,0.006144965,Glomeromycotina,Diversisporales,Gigasporaceae,Gigaspora,Gigaspora,margarita,NA,NA,NA,NA,NA
15,0.007597989,Glomeromycotina,Paraglomerales,Paraglomeraceae,Paraglomus,Paraglomus,occultum,NA,NA,NA,NA,NA
16,0.009179399,Glomeromycotina,Paraglomerales,Paraglomeraceae,Paraglomus,Paraglomus,brasilianum,NA,NA,NA,NA,NA
17,0.001534787,Glomeromycotina,Diversisporales,Gigasporaceae,Dentiscutata,Dentiscutata,heterogama,NA,NA,NA,NA,NA
18,0.007110846,Glomeromycotina,Diversisporales,Gigasporaceae,Cetraspora,Cetraspora,pellucida,NA,NA,NA,NA,NA
19,0.008240852,Glomeromycotina,Diversisporales,Acaulosporaceae,Acaulospora,Acaulospora,colombiana,NA,NA,NA,NA,NA
20,0.004904944,Glomeromycotina,Diversisporales,Gigasporaceae,Scutellospora,Scutellospora,calospora,NA,NA,NA,NA,NA
21,1.06E-05,Glomeromycotina,Glomerales,Glomeraceae,Rhizophagus,Rhizophagus,sp,NA,DAOM,213198,NA,NA
22,0.00557644,Glomeromycotina,Diversisporales,Gigasporaceae,Dentiscutata,Dentiscutata,erythropus,NA,NA,NA,NA,NA
23,0.003669603,Glomeromycotina,Diversisporales,Gigasporaceae,Racocetra,Racocetra,persica,NA,NA,NA,NA,NA
24,0.00389723,Glomeromycotina,Diversisporales,Diversisporaceae,Diversispora,Diversispora,eburnea,NA,NA,NA,NA,NA
25,1.17E-06,Glomeromycotina,Glomerales,Glomeraceae,NA,uncultured,Glomus,NA,NA,NA,NA,NA
26,0.002381021,Glomeromycotina,Diversisporales,Gigasporaceae,Racocetra,Racocetra,fulgida,NA,NA,NA,NA,NA
27,0.000502479,Glomeromycotina,Glomerales,Glomeraceae,Rhizophagus,Rhizophagus,custos,NA,NA,NA,NA,NA
28,0.000783095,Glomeromycotina,Diversisporales,Diversisporaceae,Diversispora,Diversispora,versiformis,NA,NA,NA,NA,NA
29,1.65E-06,Glomeromycotina,Glomerales,Glomeraceae,Rhizophagus,Rhizophagus,sp,NA,,in,NA,Fungi
30,0,Glomeromycotina,Glomerales,Glomeraceae,Glomus,Glomus,sp,NA,DAOM,240422,NA,NA
31,0.00012203,Glomeromycotina,Glomerales,Glomeraceae,Funneliformis,Funneliformis,coronatus,NA,NA,NA,NA,NA
32,0.000201915,Glomeromycotina,Glomerales,Glomeraceae,Funneliformis,Funneliformis,geosporum,NA,NA,NA,NA,NA
33,0.00014725,Glomeromycotina,Glomerales,Glomeraceae,Rhizophagus,Rhizophagus,prolifer,NA,NA,NA,NA,NA
34,0.000126208,Glomeromycotina,Glomerales,Glomeraceae,Rhizophagus,Rhizophagus,intraradices,NA,NA,NA,NA,NA
35,0,Glomeromycotina,Glomerales,Glomeraceae,Glomus,Glomus,sp,NA,DAOM,229456,NA,NA
36,0,Glomeromycotina,Glomerales,Glomeraceae,Rhizophagus,Rhizophagus,fasciculatus,NA,NA,NA,NA,NA
37,6.63E-05,Glomeromycotina,Glomerales,Glomeraceae,Glomus,Glomus,sp,NA,DAOM,212150,NA,NA
38,4.49E-07,Glomeromycotina,Glomerales,Glomeraceae,Sclerocystis,Sclerocystis,sinuosa,NA,NA,NA,NA,NA
39,1.90E-05,Glomeromycotina,Glomerales,Claroideoglomeraceae,Claroideoglomus,Claroideoglomus,claroideum,NA,NA,NA,NA,NA
40,1.60E-06,Glomeromycotina,Glomerales,Claroideoglomeraceae,Claroideoglomus,Claroideoglomus,etunicatum,NA,NA,NA,NA,NA
41,1.57E-05,Glomeromycotina,Glomerales,Glomeraceae,Septoglomus,Septoglomus,constrictum,NA,NA,NA,NA,NA
42,5.44E-06,Glomeromycotina,Glomerales,Glomeraceae,Oehlia,Oehlia,diaphana,NA,NA,NA,NA,NA
43,2.81E-06,Glomeromycotina,Glomerales,Glomeraceae,Sclerocystis,Sclerocystis,cf,NA,pubescens,HS,2013,NA
44,2.42E-06,Glomeromycotina,Diversisporales,Gigasporaceae,Scutellospora,Scutellospora,erythropa,NA,NA,NA,NA,NA
45,1.16E-05,Glomeromycotina,Glomerales,Glomeraceae,Glomus,Glomus,sp,NA,BEG19,NA,NA,NA
46,1.29E-05,Glomeromycotina,Diversisporales,Acaulosporaceae,Acaulospora,Acaulospora,foveata,NA,NA,NA,NA,NA
47,1.44E-06,Glomeromycotina,Glomerales,Glomeraceae,Glomus,Glomus,cubense,NA,NA,NA,NA,NA
48,2.95E-06,Glomeromycotina,Glomerales,Claroideoglomeraceae,Claroideoglomus,Claroideoglomus,sp,NA,NA,NA,NA,NA
49,5.97E-06,Glomeromycotina,Diversisporales,Acaulosporaceae,Acaulospora,Acaulospora,laevis,NA,NA,NA,NA,NA
50,0,Glomeromycotina,Glomerales,Glomeraceae,Rhizoglomus,Rhizoglomus,dalpeae,NA,NA,NA,NA,NA
51,7.49E-06,Glomeromycotina,Diversisporales,Gigasporaceae,Racocetra,Racocetra,coralloidea,NA,NA,NA,NA,NA
52,2.43E-07,Glomeromycotina,Glomerales,Glomeraceae,Dominikia,Dominikia,aurea,NA,NA,NA,NA,NA
53,1.40E-06,Glomeromycotina,Diversisporales,Gigasporaceae,Racocetra,Racocetra,castanea,NA,NA,NA,NA,NA
54,1.13E-06,Glomeromycotina,Diversisporales,Pacisporaceae,Pacispora,Pacispora,scintillans,NA,NA,NA,NA,NA
