Name,Compartment,Treat,Week,Group,Group_1,ID_its,ID_its_2,Group_common,Cultivar,plot
DCLX003A_S1_L001_quant,Soil,Preflowering,TP08,SPR08,Soil_Preflowering_TP08,TP08S5,TP8S5,1,t430,5
DCLX003B_S2_L001_quant,Soil,Preflowering,TP08,SPR08,Soil_Preflowering_TP08,TP08S6,TP8S6,1,t642,6
DCLX003C_S3_L001_quant,Soil,Control,TP08,SCO08,Soil_Control_TP08,TP08S11,TP8S11,1,t642,11
DCLX003D_S4_L001_quant,Rhizosphere,Preflowering,TP03,ZPR03,Rhizosphere_Preflowering_TP03,TP03Z5,TP3Z5,1,t430,5
DCLX003E_S5_L001_quant,Rhizosphere,Preflowering,TP03,ZPR03,Rhizosphere_Preflowering_TP03,TP03Z6,TP3Z6,1,t642,6
DCLX003F_S6_L001_quant,Rhizosphere,Control,TP03,ZCO03,Rhizosphere_Control_TP03,TP03Z11,TP3Z11,1,t642,11
DCLX003G_S7_L001_quant,Rhizosphere,Control,TP03,ZCO03,Rhizosphere_Control_TP03,TP03Z12,TP3Z12,1,t430,12
DCLX004A_S8_L002_quant,Soil,Control,TP08,SCO08,Soil_Control_TP08,TP08S12,TP8S12,1,t430,12
DCLX004B_S9_L002_quant,Soil,Preflowering,TP09,SPR09,Soil_Preflowering_TP09,TP09S5,TP9S5,1,t430,5
DCLX004C_S10_L002_quant,Soil,Preflowering,TP09,SPR09,Soil_Preflowering_TP09,TP09S6,TP9S6,1,t642,6
DCLX004D_S11_L002_quant,Rhizosphere,Preflowering,TP08,ZPR08,Rhizosphere_Preflowering_TP08,TP08Z5,TP8Z5,1,t430,5
DCLX004E_S12_L002_quant,Rhizosphere,Preflowering,TP08,ZPR08,Rhizosphere_Preflowering_TP08,TP08Z6,TP8Z6,1,t642,6
DCLX005A_S1_L001_quant,Rhizosphere,Control,TP08,ZCO08,Rhizosphere_Control_TP08,TP08Z11,TP8Z11,1,t642,11
DCLX005B_S2_L001_quant,Rhizosphere,Control,TP08,ZCO08,Rhizosphere_Control_TP08,TP08Z12,TP8Z12,1,t430,12
DCLX005C_S3_L001_quant,Soil,Control,TP09,SCO09,Soil_Control_TP09,TP09S11,TP9S11,1,t642,11
DCLX005D_S4_L001_quant,Soil,Control,TP09,SCO09,Soil_Control_TP09,TP09S12,TP9S12,1,t430,12
DCLX005E_S5_L001_quant,Soil,Preflowering,TP10,SPR10,Soil_Preflowering_TP10,TP10S5,TP10S5,1,t430,5
DCLX006A_S6_L002_quant,Rhizosphere,Preflowering,TP09,ZPR09,Rhizosphere_Preflowering_TP09,TP09Z6,TP9Z6,1,t642,6
DCLX006B_S7_L002_quant,Rhizosphere,Control,TP09,ZCO09,Rhizosphere_Control_TP09,TP09Z11,TP9Z11,1,t642,11
DCLX006C_S8_L002_quant,Rhizosphere,Control,TP09,ZCO09,Rhizosphere_Control_TP09,TP09Z12,TP9Z12,1,t430,12
DCLX006D_S9_L002_quant,Rhizosphere,Preflowering,TP09,ZPR09,Rhizosphere_Preflowering_TP09,TP09Z5,TP9Z5,1,t430,5
DCLX007A_S1_L001_quant,Soil,Preflowering,TP10,SPR10,Soil_Preflowering_TP10,TP10S6,TP10S6,1,t642,6
DCLX007B_S2_L001_quant,Soil,Control,TP10,SCO10,Soil_Control_TP10,TP10S11,TP10S11,1,t642,11
DCLX007C_S3_L001_quant,Soil,Control,TP10,SCO10,Soil_Control_TP10,TP10S12,TP10S12,1,t430,12
DCLX007D_S4_L001_quant,Rhizosphere,Preflowering,TP10,ZPR10,Rhizosphere_Preflowering_TP10,TP10Z5,TP10Z5,1,t430,5
DCLX007E_S5_L001_quant,Rhizosphere,Preflowering,TP04,ZPR04,Rhizosphere_Preflowering_TP04,TP04Z5,TP4Z5,1,t430,5
DCLX008A_S6_L002_quant,Soil,Postflowering,TP10,SPO10,Soil_Postflowering_TP10,TP10S21,TP10S21,1,t642,21
