ID,Group,Group2
DCLX003A_S1_L001_nonrrna,Metatranscriptome_Soil_Preflowering_TP08,TP08S5_L002
DCLX003B_S2_L001_nonrrna,Metatranscriptome_Soil_Preflowering_TP08,TP08S6_L002
DCLX003C_S3_L001_nonrrna,Metatranscriptome_Soil_Control_TP08,TP08S11_L002
DCLX003D_S4_L001_nonrrna,Metatranscriptome_Rhizosphere_Preflowering_TP03,TP03Z5_L001
DCLX003E_S5_L001_nonrrna,Metatranscriptome_Rhizosphere_Preflowering_TP03,TP03Z6_L001
DCLX003F_S6_L001_nonrrna,Metatranscriptome_Rhizosphere_Control_TP03,TP03Z11_L001
DCLX003G_S7_L001_nonrrna,Metatranscriptome_Rhizosphere_Control_TP03,TP03Z12_L001
DCLX004A_S8_L002_nonrrna,Metatranscriptome_Soil_Control_TP08,TP08S12_L002
DCLX004B_S9_L002_nonrrna,Metatranscriptome_Soil_Preflowering_TP09,TP09S5_L001
DCLX004C_S10_L002_nonrrna,Metatranscriptome_Soil_Preflowering_TP09,TP09S6_L002
DCLX004D_S11_L002_nonrrna,Metatranscriptome_Rhizosphere_Preflowering_TP08,TP08Z5_L002
DCLX004E_S12_L002_nonrrna,Metatranscriptome_Rhizosphere_Preflowering_TP08,TP08Z6_L002
DCLX005A_S1_L001_nonrrna,Metatranscriptome_Rhizosphere_Control_TP08,TP08Z11_L002
DCLX005B_S2_L001_nonrrna,Metatranscriptome_Rhizosphere_Control_TP08,TP08Z12_L002
DCLX005C_S3_L001_nonrrna,Metatranscriptome_Soil_Control_TP09,TP09S11_L001
DCLX005D_S4_L001_nonrrna,Metatranscriptome_Soil_Control_TP09,TP09S12_L001
DCLX005E_S5_L001_nonrrna,Metatranscriptome_Soil_Preflowering_TP10,TP10S5_L001
DCLX006A_S6_L002_nonrrna,Metatranscriptome_Rhizosphere_Preflowering_TP09,TP09Z6_L002
DCLX006B_S7_L002_nonrrna,Metatranscriptome_Rhizosphere_Control_TP09,TP09Z11_L002
DCLX006C_S8_L002_nonrrna,Metatranscriptome_Rhizosphere_Control_TP09,TP09Z12_L002
DCLX006D_S9_L002_nonrrna,Metatranscriptome_Rhizosphere_Preflowering_TP09,TP09Z5_L002
DCLX007A_S1_L001_nonrrna,Metatranscriptome_Soil_Preflowering_TP10,TP10S6_L001
DCLX007B_S2_L001_nonrrna,Metatranscriptome_Soil_Control_TP10,TP10S11_L001
DCLX007C_S3_L001_nonrrna,Metatranscriptome_Soil_Control_TP10,TP10S12_L001
DCLX007D_S4_L001_nonrrna,Metatranscriptome_Rhizosphere_Preflowering_TP10,TP10Z5_L001
DCLX007E_S5_L001_nonrrna,Metatranscriptome_Rhizosphere_Preflowering_TP04,TP04Z5_L001
