Block,Week,Grain_Lbs_Plot,Grain_Tons_ac,Grain_MC,Grain_Tons_ac(MC_13),TKW_g,Forage_kg_Plot,Forage_lbs_Plot,Forage_Tons_ac,Forage_MC,Forage_Tons_ac(MC_65),AveHeight
Block 18,17,17.29,1.5063048,34.31,1.137346693,30.84,62.1,136.7,11.9058192,66.2,11.4985779,110.4
Block 13,17,19.75,1.72062,22.16,1.539460469,31.75,61.7,135.8,11.8295892,66.7,11.26627543,106.2
Block 05,17,14.08,1.2266496,27.67,1.019811098,30.13,64.1,141.1,12.2935032,67.2,11.52515925,98.8
Block 22,17,16.78,1.4618736,22.48,1.302579787,25.36,42.7,94,8.1927648,39,14.28793861,121.8
Block 03,17,11.03,0.9609336,20.55,0.877542236,22.12,39.1,86,7.4962404,61.1,8.335017475,108.4
Block 16,17,17.31,1.5080472,24.5,1.308707628,26.46,32.9,72.3,6.3013896,49.4,9.115934322,108.4
Block 20,17,23.64,2.0595168,21.04,1.869189041,34.73,90.3,198.6,17.3015964,63.5,18.03423729,125.4
Block 01,17,12.1,1.054152,26.06,0.895908033,35.72,88.5,194.7,16.962264,67.9,15.54757476,108.4
Block 12,17,22.36,1.9480032,21.57,1.756113689,35.03,101.7,223.8,19.4965848,73.7,14.63768619,127.8
Block 06,17,12.72,1.1081664,40.12,0.762724184,23.94,64.4,141.6,12.3366276,73.4,9.368108287,100
Block 14,17,13.99,1.2188088,41.4,0.820944778,25.2,48.7,107.1,9.3270672,70.1,7.961108571,94
Block 17,17,16.6,1.446192,35.59,1.070680767,25.17,58.1,127.9,11.142648,73.9,8.305079255,95
Block 04,17,21.09,1.8373608,26.17,1.559222389,27.62,56,123.3,10.73754,61.5,11.79949451,103
Block 15,17,12.72,1.1081664,25.06,0.954551609,21.78,45.4,99.9,8.7063372,56.6,10.79949841,100.8
Block 21,17,24.66,2.1483792,23.48,1.889585935,27.7,51.2,112.6,9.8088408,44.9,15.42804686,104.4
Block 11,17,22.06,1.9218672,27.45,1.602660521,28.51,101.2,222.7,19.4029308,64.2,19.83686216,106.6
Block 19,17,21.27,1.8530424,33.64,1.413424065,30.03,90.3,198.6,17.297676,63.1,18.24588748,104
Block 02,17,17.5,1.5246,28.3,1.25648069,27.6,88.5,194.8,16.9696692,70.2,14.45727662,97.4
