,KO_richness,KO_shannon,KO_Simpson,OTU_richness,OTU_shannon,OTU_Simpson,NA,NA,week,NA,NA,NA,NA,NA,NA,NA,ntaxa,mpd.obs,mpd.rand.mean,mpd.rand.sd,mpd.obs.rank,mpd.obs.z,mpd.obs.p,runs,mpd.obs.z.1
SRR8743058_quant,347,2.8533,0.7033,4,1.2307,0.4853,Root,Preflowering,3,RPR03,Root_Preflowering_TP03,TP03R5,TP3R5,1,t430,5,4,0.081506405,0.088702488,0.032867848,425,-0.21893987,0.425,999,-0.250459307
SRR8743059_quant,318,1.9336,0.5637,6,1.8878,0.6497,Root,Preflowering,3,RPR03,Root_Preflowering_TP03,TP03R13,TP3R13,1,t430,13,6,0.07842021,0.118594138,0.032126181,130,-1.250504298,0.13,999,1.168336134
SRR8743060_quant,331,1.7812,0.5101,6,1.2862,0.4917,Root,Preflowering,3,RPR03,Root_Preflowering_TP03,TP03R18,TP3R18,1,t430,18,6,0.084792405,0.08987848,0.03438993,437,-0.147894284,0.437,999,-0.043075861
SRR8743061_quant,165,2.4891,0.6741,9,2.4006,0.7525,Root,Preflowering,4,RPR04,Root_Preflowering_TP04,TP04R5,TP4R5,1,t430,5,9,0.044569246,0.137614286,0.030512466,1,-3.049410651,0.001,999,3.041169853
SRR8743063_quant,193,2.6569,0.6542,6,1.7405,0.6442,Root,Preflowering,4,RPR04,Root_Preflowering_TP04,TP04R18,TP4R18,1,t430,18,6,0.091437217,0.117818944,0.034657271,232,-0.761217658,0.232,999,0.950498661
SRR8743074_quant,1977,5.7071,0.9261,4,1.3156,0.5546,Root,Preflowering,9,RPR09,Root_Preflowering_TP09,TP09R5,TP9R5,1,t430,5,4,0.097118348,0.101173942,0.040226267,459,-0.100819545,0.459,999,-0.172615543
SRR8743075_quant,945,4.2347,0.8203,9,2.0792,0.6341,Root,Preflowering,9,RPR09,Root_Preflowering_TP09,TP09R13,TP9R13,1,t430,13,9,0.063532734,0.115616749,0.026879537,27,-1.937682791,0.027,999,1.093760726
SRR8743077_quant,490,4.1093,0.8481,10,2.6825,0.8076,Root,Preflowering,10,RPR10,Root_Preflowering_TP10,TP10R13,TP10R13,1,t430,13,10,0.090101111,0.14755819,0.029772064,51,-1.929899066,0.051,999,1.81592862
SRR8743078_quant,548,4.6239,0.8903,9,2.1692,0.6919,Root,Preflowering,10,RPR10,Root_Preflowering_TP10,TP10R5,TP10R5,1,t430,5,9,0.084031646,0.12633345,0.031361697,112,-1.348836588,0.112,999,1.647336755
SRR8743079_quant,3390,5.2866,0.8524,9,2.8138,0.8398,Root,Preflowering,10,RPR10,Root_Preflowering_TP10,TP10R18,TP10R18,1,t430,18,9,0.079914272,0.153584514,0.028085294,9,-2.623089578,0.009,999,1.934812316
SRR8743082_quant,784,3.4262,0.7555,9,2.1027,0.6635,Root,Preflowering,11,RPR11,Root_Preflowering_TP11,TP11R18,TP11R18,1,t430,18,9,0.06214545,0.121813335,0.029401964,27,-2.029384318,0.027,999,1.218149699
SRR8743083_quant,2252,5.878,0.9281,9,2.7189,0.8186,Root,Preflowering,12,RPR12,Root_Preflowering_TP12,TP12R18,TP12R18,1,t430,18,9,0.072849209,0.149990688,0.028070472,6,-2.748136174,0.006,999,3.092521781
SRR8743084_unmaped_quant,3828,7.6175,0.9711,10,2.93,0.8494,Root,Preflowering,12,RPR12,Root_Preflowering_TP12,TP12R13,TP12R13,1,t430,13,10,0.049285704,0.155990933,0.026593833,1,-4.012404979,0.001,999,4.049402436
