Name,Compartment,Treat,Week,Group,Group_1
DCLX003A_S1_L001_quant,Soil,Preflowering,TP08,SPR08,Soil_Preflowering_TP08
DCLX003B_S2_L001_quant,Soil,Preflowering,TP08,SPR08,Soil_Preflowering_TP08
DCLX003C_S3_L001_quant,Soil,Control,TP08,SCO08,Soil_Control_TP08
DCLX003D_S4_L001_quant,Rhizosphere,Preflowering,TP03,ZPR03,Rhizosphere_Preflowering_TP03
DCLX003E_S5_L001_quant,Rhizosphere,Preflowering,TP03,ZPR03,Rhizosphere_Preflowering_TP03
DCLX003F_S6_L001_quant,Rhizosphere,Control,TP03,ZCO03,Rhizosphere_Control_TP03
DCLX003G_S7_L001_quant,Rhizosphere,Control,TP03,ZCO03,Rhizosphere_Control_TP03
DCLX004A_S8_L002_quant,Soil,Control,TP08,SCO08,Soil_Control_TP08
DCLX004B_S9_L002_quant,Soil,Preflowering,TP09,SPR09,Soil_Preflowering_TP09
DCLX004C_S10_L002_quant,Soil,Preflowering,TP09,SPR09,Soil_Preflowering_TP09
DCLX004D_S11_L002_quant,Rhizosphere,Preflowering,TP08,ZPR08,Rhizosphere_Preflowering_TP08
DCLX004E_S12_L002_quant,Rhizosphere,Preflowering,TP08,ZPR08,Rhizosphere_Preflowering_TP08
DCLX005A_S1_L001_quant,Rhizosphere,Control,TP08,ZCO08,Rhizosphere_Control_TP08
DCLX005B_S2_L001_quant,Rhizosphere,Control,TP08,ZCO08,Rhizosphere_Control_TP08
DCLX005C_S3_L001_quant,Soil,Control,TP09,SCO09,Soil_Control_TP09
DCLX005D_S4_L001_quant,Soil,Control,TP09,SCO09,Soil_Control_TP09
DCLX005E_S5_L001_quant,Soil,Preflowering,TP10,SPR10,Soil_Preflowering_TP10
DCLX006A_S6_L002_quant,Rhizosphere,Preflowering,TP09,ZPR09,Rhizosphere_Preflowering_TP09
DCLX006B_S7_L002_quant,Rhizosphere,Control,TP09,ZCO09,Rhizosphere_Control_TP09
DCLX006C_S8_L002_quant,Rhizosphere,Control,TP09,ZCO09,Rhizosphere_Control_TP09
DCLX006D_S9_L002_quant,Rhizosphere,Preflowering,TP09,ZPR09,Rhizosphere_Preflowering_TP09
DCLX007A_S1_L001_quant,Soil,Preflowering,TP10,SPR10,Soil_Preflowering_TP10
DCLX007B_S2_L001_quant,Soil,Control,TP10,SCO10,Soil_Control_TP10
DCLX007C_S3_L001_quant,Soil,Control,TP10,SCO10,Soil_Control_TP10
DCLX007D_S4_L001_quant,Rhizosphere,Preflowering,TP10,ZPR10,Rhizosphere_Preflowering_TP10
DCLX007E_S5_L001_quant,Rhizosphere,Preflowering,TP04,ZPR04,Rhizosphere_Preflowering_TP04
DCLX008A_S6_L002_quant,Soil,Postflowering,TP10,SPO10,Soil_Postflowering_TP10
DCLX008B_S7_L002_quant,Soil,Postflowering,TP10,SPO10,Soil_Postflowering_TP10
DCLX008C_S8_L002_quant,Soil,Preflowering,TP04,SPR04,Soil_Preflowering_TP04
DCLX008D_S9_L002_quant,Rhizosphere,Preflowering,TP04,ZPR04,Rhizosphere_Preflowering_TP04
DCLX008E_S10_L002_quant,Rhizosphere,Control,TP04,ZCO04,Rhizosphere_Control_TP04
DCLX009A_S1_L001_quant,Soil,Preflowering,TP04,SPR04,Soil_Preflowering_TP04
DCLX009B_S2_L001_quant,Soil,Control,TP04,SCO04,Soil_Control_TP04
DCLX009C_S3_L001_quant,Soil,Control,TP04,SCO04,Soil_Control_TP04
