,RCO02,RCO03,RCO04,RCO05,RCO06,RCO07,RCO08,RCO09,RCO10,RCO11,RCO12,RCO13,RCO14,RCO15,RCO16,RCO17,RPO09,RPO10,RPO11,RPO12,RPO13,RPO14,RPO15,RPO16,RPO17,RPR03,RPR04,RPR05,RPR06,RPR07,RPR08,RPR09,RPR10,RPR11,RPR12,RPR13,RPR14,RPR15,RPR16,RPR17,SCO04,SCO08,SCO09,SCO10,SCO11,SPO10,SPO11,SPR04,SPR08,SPR09,SPR10,ZCO03,ZCO04,ZCO08,ZCO09,ZCO10,ZCO11,ZPO10,ZPO11,ZPR03,ZPR04,ZPR08,ZPR09,ZPR10
K21396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00E-06,0,0,0,0,0,1.00E-06,5.00E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K11657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06528,0,0,0,0,0,0,0,0,0,0,0,0,0
K18998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06528,0,0,0,0,0,0,0,0,0,0,0,0,0
K12607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1057895,0,0,0,0,0,0,0
K05592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1394445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K01227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K07317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1720025,0,0,0,0.1794795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K01218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3257865,0,0,0,0,0,0,0
K00986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3274085,0,0,0,0,0,0,0
K18231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372374,0,0,0,0,0,0,0,0,0,0
K01840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.376271,0
K04457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3838085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K13038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1113,0,0,0,0.400925,0,0,0,0,0,0,0,0,0
