OUT_G,OTU,Subphylum,Class,Order,Family,Genus
OTU51Rhizophagus,OTU51,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizoglomus
OTU70Claroideoglomus,OTU70,Glomeromycota,Glomeromycetes,Entrophosporales,Entrophosporaceae,Entrophospora
OTU166Rhizophagus,OTU166,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizoglomus
OTU150Rhizophagus,OTU150,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizoglomus
OTU253Funneliformis,OTU253,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis
OTU118Rhizophagus,OTU118,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizoglomus
OTU161Rhizophagus,OTU161,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizoglomus
OTU132Rhizophagus,OTU132,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizoglomus
OTU133Glomus,OTU133,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia
OTU206Glomus,OTU206,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia
OTU213Rhizophagus,OTU213,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizoglomus
OTU935Rhizophagus,OTU935,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizoglomus
OTU126Glomus,OTU126,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia
OTU251Rhizophagus,OTU251,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizoglomus
OTU558Funneliformis,OTU558,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis
OTU323Glomus,OTU323,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia
OTU224Glomus,OTU224,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia
OTU229Glomus,OTU229,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia
OTU355Funneliformis,OTU355,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis
OTU408Fungi,OTU408,Glomeromycota,Paraglomeromycetes,Paraglomerales,Pervetustaceae,Pervetustus
OTU347Rhizophagus,OTU347,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizoglomus
OTU476Glomus,OTU476,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia
OTU277Glomus,OTU277,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia
OTU565Funneliformis,OTU565,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis
OTU491Claroideoglomus,OTU491,Glomeromycota,Glomeromycetes,Entrophosporales,Entrophosporaceae,Entrophospora
OTU368Paraglomerales,OTU368,Glomeromycota,Paraglomeromycetes,Paraglomerales,Pervetustaceae,Pervetustus
OTU400Glomus,OTU400,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia
OTU333Glomus,OTU333,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia
OTU435Glomus,OTU435,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia
OTU534Glomus,OTU534,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia
OTU944Rhizophagus,OTU944,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizoglomus
OTU553Paraglomerales,OTU553,Glomeromycota,Paraglomeromycetes,Paraglomerales,Pervetustaceae,Pervetustus
OTU536Claroideoglomus,OTU536,Glomeromycota,Glomeromycetes,Entrophosporales,Entrophosporaceae,Entrophospora
OTU682Paraglomerales,OTU682,Glomeromycota,Paraglomeromycetes,Paraglomerales,Pervetustaceae,Pervetustus
OTU551Paraglomerales,OTU551,Glomeromycota,Paraglomeromycetes,Paraglomerales,Pervetustaceae,Pervetustus
OTU989Funneliformis,OTU989,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis
OTU498Glomus,OTU498,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Microdominikia
OTU579Glomus,OTU579,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Microdominikia
OTU987Paraglomus,OTU987,Glomeromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
OTU683Paraglomerales,OTU683,Glomeromycota,Paraglomeromycetes,Paraglomerales,Pervetustaceae,Pervetustus
OTU734Rhizophagus,OTU734,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizoglomus
OTU568Paraglomerales,OTU568,Glomeromycota,Paraglomeromycetes,Paraglomerales,Pervetustaceae,Pervetustus
OTU715Glomus,OTU715,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Microdominikia
OTU574Glomus,OTU574,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Microdominikia
OTU986Paraglomerales,OTU986,Glomeromycota,Paraglomeromycetes,Paraglomerales,Pervetustaceae,Pervetustus
OTU659Glomus,OTU659,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Microdominikia
OTU660Paraglomerales,OTU660,Glomeromycota,Paraglomeromycetes,Paraglomerales,Pervetustaceae,Pervetustus
OTU1068Glomus,OTU1068,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Microdominikia
OTU564Glomus,OTU564,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Microdominikia
OTU735Claroideoglomus,OTU735,Glomeromycota,Glomeromycetes,Entrophosporales,Entrophosporaceae,Entrophospora
OTU597Paraglomus,OTU597,Glomeromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
OTU998Glomus,OTU998,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia
OTU1184Rhizophagus,OTU1184,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizoglomus
OTU1065Claroideoglomus,OTU1065,Glomeromycota,Glomeromycetes,Entrophosporales,Entrophosporaceae,Entrophospora
OTU936Claroideoglomus,OTU936,Glomeromycota,Glomeromycetes,Entrophosporales,Entrophosporaceae,Entrophospora
OTU1063Paraglomerales,OTU1063,Glomeromycota,Paraglomeromycetes,Paraglomerales,Pervetustaceae,Pervetustus
OTU1070Paraglomus,OTU1070,Glomeromycota,Paraglomeromycetes,Paraglomerales,Pervetustaceae,Pervetustus
OTU1105Paraglomerales,OTU1105,Glomeromycota,Paraglomeromycetes,Paraglomerales,Pervetustaceae,Pervetustus
OTU1197Claroideoglomus,OTU1197,Glomeromycota,Glomeromycetes,Entrophosporales,Entrophosporaceae,Entrophospora
OTU1274Paraglomus,OTU1274,Glomeromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
OTU1103Paraglomerales,OTU1103,Glomeromycota,Paraglomeromycetes,Paraglomerales,Pervetustaceae,Pervetustus
OTU969Claroideoglomus,OTU969,Glomeromycota,Glomeromycetes,Entrophosporales,Entrophosporaceae,Entrophospora
OTU1013Glomeraceae,OTU1013,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Sclerocystis
OTU975Paraglomus,OTU975,Glomeromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
OTU945Glomus,OTU945,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia
