"","OTU51Rhizophagus","OTU70Claroideoglomus","OTU166Rhizophagus","OTU150Rhizophagus","OTU253Funneliformis","OTU118Rhizophagus","OTU161Rhizophagus","OTU132Rhizophagus","OTU133Glomus","OTU206Glomus","OTU213Rhizophagus","OTU935Rhizophagus","OTU126Glomus","OTU251Rhizophagus","OTU558Funneliformis","OTU323Glomus","OTU224Glomus","OTU229Glomus","OTU355Funneliformis","OTU408Fungi","OTU347Rhizophagus","OTU476Glomus","OTU277Glomus","OTU565Funneliformis","OTU491Claroideoglomus","OTU368Fungi","OTU400Glomus","OTU333Glomus","OTU435Glomus","OTU534Glomus","OTU944Rhizophagus","OTU553Fungi","OTU536Claroideoglomus","OTU682Fungi","OTU551Fungi","OTU989Funneliformis","OTU498Glomus","OTU579Glomus","OTU987Paraglomus","OTU683Fungi","OTU734Rhizophagus","OTU568Fungi","OTU715Glomus","OTU574Glomus","OTU986Fungi","OTU659Glomus","OTU660Fungi","OTU1068Glomus","OTU564Glomus","OTU735Claroideoglomus","OTU597Paraglomus","OTU998Glomus","OTU1184Rhizophagus","OTU1065Claroideoglomus","OTU936Claroideoglomus","OTU1063Fungi","OTU1070Fungi","OTU1105Fungi","OTU1197Claroideoglomus","OTU1274Paraglomus","OTU1103Fungi","OTU969Claroideoglomus","OTU1013Glomeraceae","OTU975Paraglomus","OTU945Glomus"
"SRR8743058_quant",52,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8743059_quant",38,13,5,1,0,3,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8743060_quant",45,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8743061_quant",20,1,3,0,0,4,0,5,0,0,0,25,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8743063_quant",35,11,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8743074_quant",41,21,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8743075_quant",36,11,6,2,0,1,4,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8743077_quant",18,9,16,6,0,2,5,4,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8743078_quant",40,10,6,3,0,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8743079_quant",19,6,10,4,0,7,11,3,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
