"","KO_richness","KO_shannon","KO_Simpson","OTU_richness","OTU_shannon","OTU_Simpson","NA","Treat","Week","NA","NA","NA","NA","NA","Cultivar","NA","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","mpd.obs.z.1"
"SRR8743058_quant",347,"2.8533","0.7033",4,"0.9778","0.3540","Root","Preflowering drought",3,"RPR03","Root_Preflowering_TP03","TP03R5","TP3R5",1,"t430",5,4,0.207968975116162,0.194879645159449,0.0650137360875246,515,0.20133176070809,0.515,999,-0.20133176070809
"SRR8743059_quant",318,"1.9336","0.5637",8,"1.9551","0.6189","Root","Preflowering drought",3,"RPR03","Root_Preflowering_TP03","TP03R13","TP3R13",1,"t430",13,8,0.250388866118457,0.340170146711819,0.0764930779537875,134,-1.17371771400809,0.134,999,1.17371771400809
"SRR8743060_quant",331,"1.7812","0.5101",4,"1.0771","0.4518","Root","Preflowering drought",3,"RPR03","Root_Preflowering_TP03","TP03R18","TP3R18",1,"t430",18,4,0.279091853096878,0.248671512830406,0.100168428356111,527,0.303691899390931,0.527,999,-0.303691899390931
"SRR8743061_quant",165,"2.4891","0.6741",8,"2.3088","0.7415","Root","Preflowering drought",4,"RPR04","Root_Preflowering_TP04","TP04R5","TP4R5",1,"t430",5,8,0.0937992655275482,0.405321003202878,0.0812156321049184,1,-3.83573617050582,0.001,999,3.83573617050582
"SRR8743063_quant",193,"2.6569","0.6542",5,"1.6105","0.6162","Root","Preflowering drought",4,"RPR04","Root_Preflowering_TP04","TP04R18","TP4R18",1,"t430",18,5,0.205369337534435,0.334289046125923,0.0967126931144404,95,-1.33301746068571,0.095,999,1.33301746068571
"SRR8743074_quant",1977,"5.7071","0.9261",4,"1.2581","0.5110","Root","Preflowering drought",9,"RPR09","Root_Preflowering_TP09","TP09R5","TP9R5",1,"t430",5,4,0.300180997766299,0.281585899550925,0.102734212426282,502,0.181002002898667,0.502,999,-0.181002002898667
"SRR8743075_quant",945,"4.2347","0.8203",8,"2.0854","0.6556","Root","Preflowering drought",9,"RPR09","Root_Preflowering_TP09","TP09R13","TP9R13",1,"t430",13,8,0.238500344035813,0.359274329863896,0.0736182949393425,58,-1.64054310042897,0.058,999,1.64054310042897
"SRR8743077_quant",490,"4.1093","0.8481",9,"2.7987","0.8255","Root","Preflowering drought",10,"RPR10","Root_Preflowering_TP10","TP10R13","TP10R13",1,"t430",13,9,0.235070748620294,0.452816058245948,0.068576897361161,4,-3.17519919979605,0.004,999,3.17519919979605
"SRR8743078_quant",548,"4.6239","0.8903",8,"1.8874","0.5950","Root","Preflowering drought",10,"RPR10","Root_Preflowering_TP10","TP10R5","TP10R5",1,"t430",5,8,0.214666251131772,0.326193832245049,0.0712079645396939,74,-1.56622341102177,0.074,999,1.56622341102177
"SRR8743079_quant",3390,"5.2866","0.8524",9,"2.8397","0.8352","Root","Preflowering drought",10,"RPR10","Root_Preflowering_TP10","TP10R18","TP10R18",1,"t430",18,9,0.196616019859045,0.457691748965904,0.0676030135635011,1,-3.86189483789247,0.001,999,3.86189483789247
