GO term,Ontology,Description,Number of genes,input ,Number in BG/Ref,Ref,Richfactor,p-value,FDR
GO:0006928,P,movement of cell or subcellular component,25,1397,56,15420,4.927651089,4.30E-09,2.20E-06
GO:0007017,P,microtubule-based process,35,1397,106,15420,3.644602315,2.70E-09,2.20E-06
GO:0007018,P,microtubule-based movement,25,1397,56,15420,4.927651089,4.30E-09,2.20E-06
GO:0036211,P,protein modification process,214,1397,1589,15420,1.486544258,2.00E-08,6.20E-06
GO:0006464,P,cellular protein modification process,214,1397,1589,15420,1.486544258,2.00E-08,6.20E-06
GO:0016310,P,phosphorylation,180,1397,1299,15420,1.529506481,5.70E-08,1.20E-05
GO:0006468,P,protein phosphorylation,171,1397,1217,15420,1.550934653,5.60E-08,1.20E-05
GO:0043412,P,macromolecule modification,214,1397,1629,15420,1.45004225,1.20E-07,2.20E-05
GO:0006796,P,phosphate-containing compound metabolic process,206,1397,1574,15420,1.444609478,2.70E-07,4.50E-05
GO:0006793,P,phosphorus metabolic process,206,1397,1576,15420,1.442776217,3.00E-07,4.50E-05
GO:0003824,F,catalytic activity,764,1397,6982,15420,1.207817956,9.30E-12,2.90E-09
GO:0008017,F,microtubule binding,33,1397,71,15420,5.130309416,6.40E-12,2.90E-09
GO:0015631,F,tubulin binding,33,1397,72,15420,5.059055118,8.50E-12,2.90E-09
GO:0008092,F,cytoskeletal protein binding,36,1397,94,15420,4.227295573,5.90E-11,1.40E-08
GO:0003777,F,microtubule motor activity,25,1397,56,15420,4.927651089,4.30E-09,8.20E-07
GO:0004672,F,protein kinase activity,170,1397,1213,15420,1.546949328,7.10E-08,1.10E-05
GO:0016301,F,kinase activity,184,1397,1343,15420,1.512271536,8.20E-08,1.10E-05
GO:0003774,F,motor activity,25,1397,69,15420,3.999253058,1.20E-07,1.40E-05
GO:0016773,F,"phosphotransferase activity, alcohol group as acceptor",181,1397,1341,15420,1.4898336,2.60E-07,2.80E-05
GO:0016772,F,"transferase activity, transferring phosphorus-containing groups",196,1397,1533,15420,1.411243271,2.30E-06,0.00022
GO:0005215,F,transporter activity,111,1397,770,15420,1.591183333,5.10E-06,0.00044
GO:0005524,F,ATP binding,180,1397,1442,15420,1.377828654,2.30E-05,0.0018
GO:0022857,F,transmembrane transporter activity,81,1397,544,15420,1.643516569,3.70E-05,0.0027
GO:0016787,F,hydrolase activity,239,1397,2042,15420,1.291903667,5.00E-05,0.0034
GO:0016740,F,transferase activity,311,1397,2793,15420,1.229072272,0.0001,0.0064
GO:0030554,F,adenyl nucleotide binding,205,1397,1745,15420,1.296720562,0.00016,0.0093
GO:0032559,F,adenyl ribonucleotide binding,204,1397,1741,15420,1.293359817,0.00019,0.01
GO:0030246,F,carbohydrate binding,34,1397,189,15420,1.985660883,0.0004,0.021
GO:0035639,F,purine ribonucleoside triphosphate binding,188,1397,1621,15420,1.280155723,0.00055,0.027
GO:0046873,F,metal ion transmembrane transporter activity,17,1397,72,15420,2.606179909,0.00094,0.044
GO:0005871,C,kinesin complex,25,1397,56,15420,4.927651089,4.30E-09,3.10E-07
GO:0015630,C,microtubule cytoskeleton,33,1397,96,15420,3.794291339,3.40E-09,3.10E-07
GO:0005875,C,microtubule associated complex,27,1397,70,15420,4.257490541,1.30E-08,6.20E-07
GO:0044430,C,cytoskeletal part,33,1397,121,15420,3.010346847,3.30E-07,1.20E-05
GO:0005856,C,cytoskeleton,35,1397,135,15420,2.861687744,4.10E-07,1.20E-05
