AMF_induced_gene,Module_all,Module1,Module3,Module4
Sobic.001G005100,Sobic.001G009200,Sobic.001G009200,Sobic.001G002800,Sobic.001G005100
Sobic.010G204000,Sobic.001G026000,Sobic.001G026000,Sobic.001G004600,Sobic.001G011700
Sobic.003G232200,Sobic.001G027900,Sobic.001G027900,Sobic.001G008400,Sobic.001G022700
Sobic.001G005700,Sobic.001G030400,Sobic.001G030400,Sobic.001G008900,Sobic.001G032900
Sobic.002G174801,Sobic.001G035600,Sobic.001G035600,Sobic.001G014200,Sobic.001G034900
Sobic.006G026800,Sobic.001G039800,Sobic.001G039800,Sobic.001G021500,Sobic.001G044300
Sobic.004G162700,Sobic.001G052000,Sobic.001G052000,Sobic.001G023500,Sobic.001G048000
Sobic.004G286800,Sobic.001G062300,Sobic.001G062300,Sobic.001G025500,Sobic.001G048900
Sobic.002G116600,Sobic.001G071000,Sobic.001G071000,Sobic.001G029500,Sobic.001G062132
Sobic.006G111400,Sobic.001G074800,Sobic.001G074800,Sobic.001G029800,Sobic.001G099300
Sobic.004G022700,Sobic.001G074900,Sobic.001G074900,Sobic.001G030600,Sobic.001G099400
Sobic.004G022300,Sobic.001G077000,Sobic.001G077000,Sobic.001G033300,Sobic.001G102300
Sobic.003G431900,Sobic.001G079900,Sobic.001G079900,Sobic.001G038300,Sobic.001G105500
Sobic.003G378100,Sobic.001G087700,Sobic.001G087700,Sobic.001G040500,Sobic.001G109000
Sobic.003G383900,Sobic.001G089100,Sobic.001G089100,Sobic.001G046400,Sobic.001G139700
Sobic.001G174200,Sobic.001G095500,Sobic.001G095500,Sobic.001G047900,Sobic.001G144900
Sobic.002G229400,Sobic.001G107600,Sobic.001G107600,Sobic.001G049600,Sobic.001G156000
Sobic.002G229300,Sobic.001G131700,Sobic.001G131700,Sobic.001G050200,Sobic.001G160500
Sobic.003G184000,Sobic.001G134800,Sobic.001G134800,Sobic.001G054600,Sobic.001G162700
Sobic.003G183850,Sobic.001G136400,Sobic.001G136400,Sobic.001G059900,Sobic.001G173600
Sobic.005G146400,Sobic.001G139200,Sobic.001G139200,Sobic.001G063500,Sobic.001G174300
Sobic.005G146900,Sobic.001G142800,Sobic.001G142800,Sobic.001G066100,Sobic.001G174500
Sobic.004G185300,Sobic.001G151800,Sobic.001G151800,Sobic.001G069700,Sobic.001G180800
Sobic.010G164100,Sobic.001G154500,Sobic.001G154500,Sobic.001G073150,Sobic.001G181600
Sobic.003G317800,Sobic.001G156600,Sobic.001G156600,Sobic.001G074000,Sobic.001G182100
Sobic.003G317900,Sobic.001G173500,Sobic.001G173500,Sobic.001G074100,Sobic.001G193300
Sobic.007G125400,Sobic.001G175500,Sobic.001G175500,Sobic.001G075400,Sobic.001G194000
Sobic.003G318200,Sobic.001G184100,Sobic.001G184100,Sobic.001G076800,Sobic.001G194300
Sobic.003G318100,Sobic.001G184300,Sobic.001G184300,Sobic.001G077200,Sobic.001G203000
Sobic.010G128800,Sobic.001G192100,Sobic.001G192100,Sobic.001G078600,Sobic.001G205800
Sobic.003G226900,Sobic.001G194600,Sobic.001G194600,Sobic.001G080600,Sobic.001G209000
Sobic.010G129000,Sobic.001G200700,Sobic.001G200700,Sobic.001G081200,Sobic.001G209500
Sobic.005G085700,Sobic.001G218400,Sobic.001G218400,Sobic.001G083500,Sobic.001G210101
Sobic.007G047200,Sobic.001G222400,Sobic.001G222400,Sobic.001G085500,Sobic.001G210200
Sobic.006G022800,Sobic.001G228200,Sobic.001G228200,Sobic.001G086000,Sobic.001G210250
Sobic.010G113600,Sobic.001G235500,Sobic.001G235500,Sobic.001G088400,Sobic.001G210500
Sobic.006G023400,Sobic.001G236400,Sobic.001G236400,Sobic.001G090400,Sobic.001G210600
Sobic.006G023900,Sobic.001G247200,Sobic.001G247200,Sobic.001G094800,Sobic.001G211000
Sobic.002G135500,Sobic.001G249000,Sobic.001G249000,Sobic.001G102500,Sobic.001G211101
Sobic.002G135700,Sobic.001G249300,Sobic.001G249300,Sobic.001G103000,Sobic.001G211200
Sobic.001G180800,Sobic.001G268200,Sobic.001G268200,Sobic.001G104500,Sobic.001G216500
Sobic.006G116900,Sobic.001G280000,Sobic.001G280000,Sobic.001G107100,Sobic.001G218200
Sobic.007G163500,Sobic.001G295600,Sobic.001G295600,Sobic.001G107200,Sobic.001G218500
Sobic.003G240000,Sobic.001G297600,Sobic.001G297600,Sobic.001G108100,Sobic.001G221400
Sobic.002G044600,Sobic.001G305800,Sobic.001G305800,Sobic.001G108500,Sobic.001G222600
Sobic.007G132300,Sobic.001G306000,Sobic.001G306000,Sobic.001G109700,Sobic.001G226600
Sobic.007G095100,Sobic.001G314400,Sobic.001G314400,Sobic.001G116000,Sobic.001G226700
Sobic.010G191700,Sobic.001G316000,Sobic.001G316000,Sobic.001G116900,Sobic.001G227800
Sobic.001G273600,Sobic.001G318200,Sobic.001G318200,Sobic.001G121900,Sobic.001G233400
Sobic.001G311900,Sobic.001G320700,Sobic.001G320700,Sobic.001G130700,Sobic.001G233700
Sobic.003G326000,Sobic.001G331200,Sobic.001G331200,Sobic.001G131800,Sobic.001G253700
Sobic.007G138600,Sobic.001G340200,Sobic.001G340200,Sobic.001G131900,Sobic.001G265000
Sobic.004G021500,Sobic.001G354100,Sobic.001G354100,Sobic.001G138000,Sobic.001G273600
Sobic.002G109800,Sobic.001G366100,Sobic.001G366100,Sobic.001G140000,Sobic.001G274600
Sobic.002G109700,Sobic.001G366800,Sobic.001G366800,Sobic.001G140600,Sobic.001G288500
Sobic.002G109900,Sobic.001G381500,Sobic.001G381500,Sobic.001G143200,Sobic.001G305350
Sobic.003G370400,Sobic.001G384100,Sobic.001G384100,Sobic.001G146000,Sobic.001G307000
Sobic.001G210900,Sobic.001G386600,Sobic.001G386600,Sobic.001G147900,Sobic.001G310800
Sobic.001G211000,Sobic.001G388100,Sobic.001G388100,Sobic.001G148200,Sobic.001G311900
Sobic.006G014800,Sobic.001G390800,Sobic.001G390800,Sobic.001G154200,Sobic.001G318300
Sobic.002G135400,Sobic.001G395400,Sobic.001G395400,Sobic.001G155700,Sobic.001G318600
Sobic.001G099300,Sobic.001G397500,Sobic.001G397500,Sobic.001G157100,Sobic.001G321900
Sobic.002G234500,Sobic.001G404500,Sobic.001G404500,Sobic.001G158200,Sobic.001G322500
Sobic.002G238100,Sobic.001G408800,Sobic.001G408800,Sobic.001G161500,Sobic.001G331301
Sobic.010G126700,Sobic.001G412800,Sobic.001G412800,Sobic.001G161601,Sobic.001G334001
Sobic.003G243400,Sobic.001G433200,Sobic.001G433200,Sobic.001G162400,Sobic.001G337400
Sobic.001G378700,Sobic.001G437801,Sobic.001G437801,Sobic.001G169900,Sobic.001G339600
Sobic.001G156000,Sobic.001G444700,Sobic.001G444700,Sobic.001G177900,Sobic.001G343100
Sobic.009G052901,Sobic.001G447600,Sobic.001G447600,Sobic.001G179100,Sobic.001G349000
Sobic.004G196500,Sobic.001G472800,Sobic.001G472800,Sobic.001G189000,Sobic.001G350200
Sobic.009G108300,Sobic.001G475900,Sobic.001G475900,Sobic.001G191300,Sobic.001G354400
Sobic.008G151900,Sobic.001G480800,Sobic.001G480800,Sobic.001G192700,Sobic.001G354800
Sobic.002G229000,Sobic.001G492000,Sobic.001G492000,Sobic.001G196000,Sobic.001G357900
Sobic.005G053950,Sobic.001G496800,Sobic.001G496800,Sobic.001G201000,Sobic.001G367700
Sobic.007G117200,Sobic.001G497700,Sobic.001G497700,Sobic.001G205000,Sobic.001G378700
Sobic.008G091500,Sobic.001G498000,Sobic.001G498000,Sobic.001G216800,Sobic.001G390200
Sobic.001G343100,Sobic.001G502700,Sobic.001G502700,Sobic.001G222900,Sobic.001G391300
Sobic.008G106200,Sobic.001G505100,Sobic.001G505100,Sobic.001G224300,Sobic.001G395900
Sobic.004G075400,Sobic.001G508200,Sobic.001G508200,Sobic.001G230300,Sobic.001G396900
Sobic.008G180500,Sobic.001G508700,Sobic.001G508700,Sobic.001G231200,Sobic.001G405800
Sobic.001G022700,Sobic.001G526800,Sobic.001G526800,Sobic.001G232000,Sobic.001G409400
