gene_id,Modall,Mod1,Mod3,Mod4
jgi|Rhicl1|19412|transcript:GBC07476,0,0,0,0
jgi|RhiirA4|515722|MIX22261_2_15,0,0,0,0
jgi|Gloin1|193438|CE93314_920,0,0,0,0
jgi|Gigmar1|29004|rna-F8M41_026085,0,0,0,0
jgi|Rhidi1|790913|MIX12209_31_79,0,0,0,0
jgi|Rhicl1|21542|transcript:GBC09477,0,0,0,0
jgi|Rhidi1|820338|estExt_Genemark1.C_5910010,0,0,0,0
jgi|RhiirA1_1|536888|estExt_Genemark1.C_6020005,0,0,0,0
jgi|RhiirA1_1|21873|CE21872_2258,0,0,0,0
jgi|Gloin1|301370|CE201246_660,0,0,0,0
jgi|RhiirC2|857432|estExt_Genemark1.C_30480001,0,0,0,0
jgi|Gloin1|3689|gm1.3577_g,0,0,0,0
jgi|RhiirA1_1|528857|estExt_Genemark1.C_210047,0,0,0,0
jgi|RhiirA1_1|433405|estExt_fgenesh1_pm.C_390001,0,0,0,0
jgi|RhiirA1_1|446932|estExt_fgenesh1_pg.C_25950001,0,0,0,0
jgi|RhiirA1_1|35614|CE35613_2866,0,0,0,0
jgi|Gloin1|23783|gm1.23671_g,0,0,0,0
jgi|RhiirC2|856558|estExt_Genemark1.C_23400003,0,0,0,0
jgi|RhiirC2|658493|e_gw1.444.8.1,0,0,0,0
jgi|RhiirB3|465159|estExt_fgenesh1_pg.C_130010,0,0,0,0
jgi|RhiirB3|426971|gm1.2942_g,0,0,0,0
jgi|RhiirA5|386666|fgenesh1_pg.5837_#_1,0,0,0,0
jgi|RhiirA5|406204|gm1.937_g,0,0,0,0
jgi|RhiirA4|542615|estExt_Genemark1.C_3760008,0,0,0,0
jgi|Gloin1|343351|fgenesh1_kg.12316_#_4_#_remain_c1422,0,0,0,0
jgi|Rhiir2_1|1765105|gm1.3859_g,0,0,0,0
jgi|Geopyr1|2772|FUN_002607-T1,0,0,0,0
jgi|Gloin1|4463|gm1.4351_g,0,0,0,0
jgi|RhiirA1_1|451318|gm1.3683_g,0,0,0,0
jgi|Rhiir2_1|1789106|gm1.27860_g,0,0,0,0
jgi|Rhice1_1|748579|fgenesh1_kg.8_#_180_#_TRINITY_DN14134_c0_g1_i2,0,0,0,0
jgi|Rhiir2_1|1779159|gm1.17913_g,0,0,0,0
jgi|Rhiir2_1|1582446|fgenesh1_kg.79_#_183_#_TRINITY_DN11285_c0_g1_i3,0,0,0,0
jgi|Rhicl1|10167|transcript:GBB99574,0,0,0,0
jgi|Gloin1|21192|gm1.21080_g,0,0,0,0
jgi|RhiirA5|500853|estExt_Genemark1.C_6540005,0,0,0,0
jgi|Rhicl1|4662|transcript:GBB84930,0,0,0,0
jgi|Rhicl1|7426|transcript:GBB97566,0,0,0,0
