Category,Description
jgi|Rhiir2_1|1618481|fgenesh1_kg.123_#_787_#_ACTTGA_L001_R1_(paired)_contig_1800,AMF
jgi|RhiirA5|400802|estExt_fgenesh1_pg.C_8290006,AMF
jgi|Rhiir2_1|1634774|fgenesh1_kg.149_#_864_#_ACTTGA_L001_R1_(paired)_contig_269,AMF
jgi|Rhicl1|22988|transcript:GBC10827,AMF
jgi|Gloin1|176481|CE76357_931,AMF
jgi|RhiirA4|415873|fgenesh1_pg.96_#_24,AMF
jgi|Rhicl1|14779|transcript:GBC03149,AMF
jgi|Rhiir2_1|1881607|estExt_Genemark1.C_2450005,AMF
jgi|Gloin1|337027|fgenesh1_kg.3887_#_4_#_ACTTGA_L001_R1_(paired)_contig_2682,AMF
jgi|RhiirA4|395899|fgenesh1_kg.146_#_8_#_ACTTGA_L001_R1_(paired)_contig_3706,AMF
jgi|Rhicl1|23455|transcript:GBB87821,AMF
jgi|Rhicl1|3701|transcript:GBB94594,AMF
jgi|Rhicl1|10412|transcript:GBB86153,AMF
jgi|Rhicl1|16479|transcript:GBC04763,AMF
jgi|RhiirA4|452407|gm1.2203_g,AMF
jgi|Rhiir2_1|1765029|gm1.3783_g,AMF
jgi|Rhidi1|762433|gm1.13507_g,AMF
jgi|Rhicl1|9765|transcript:GBB99272,AMF
jgi|Rhicl1|11238|transcript:GBC00314,AMF
jgi|Gloin1|296680|CE196556_2095,AMF
jgi|Rhidi1|741741|estExt_fgenesh1_pg.C_1400011,AMF
jgi|Rhiir2_1|202531|CE202398_29032,AMF
jgi|RhiirC2|699748|estExt_Genewise1Plus.C_10410007,AMF
jgi|Rhiir2_1|1616211|fgenesh1_kg.121_#_220_#_TRINITY_DN11108_c3_g1_i9,AMF
jgi|RhiirA4|390810|fgenesh1_kg.6_#_77_#_ACTTGA_L001_R1_(paired)_contig_3833,AMF
jgi|RhiirA5|354263|fgenesh1_kg.310_#_21_#_ACTTGA_L001_R1_(paired)_contig_5258,AMF
jgi|Rhidi1|762431|gm1.13505_g,AMF
jgi|Rhicl1|12187|transcript:GBC00993,AMF
jgi|Rhiir2_1|1659938|fgenesh1_kg.198_#_549_#_TRINITY_DN10836_c1_g2_i1,AMF
jgi|Rhicl1|16669|transcript:GBC04940,AMF
jgi|Gloin1|342728|fgenesh1_kg.11358_#_1_#_ACTTGA_L001_R1_(paired)_contig_7779,AMF
jgi|Rhiir2_1|1698496|fgenesh1_kg.310_#_97_#_ACTTGA_L001_R1_(paired)_contig_1236,AMF
jgi|Gloin1|343370|fgenesh1_kg.12374_#_6_#_ACTTGA_L001_R1_(paired)_contig_6186,AMF
jgi|Rhidi1|675989|fgenesh1_pg.749_#_5,AMF
jgi|Rhiir2_1|1761377|gm1.131_g,AMF
jgi|Gloin1|156|gm1.44_g,AMF
jgi|Gloin1|337996|fgenesh1_kg.4881_#_3_#_ACTTGA_L001_R1_(paired)_contig_8629,AMF
jgi|Gloin1|90943|fgenesh1_pg.10510_#_3,AMF
jgi|Rhicl1|1167|transcript:GBB84403,AMF
jgi|Rhicl1|5156|transcript:GBB85012,AMF
jgi|Gloin1|338627|fgenesh1_kg.5664_#_22_#_ACTTGA_L001_R1_(paired)_contig_6154,AMF
jgi|Rhicl1|17733|transcript:GBC05910,AMF
jgi|RhiirA5|358403|fgenesh1_kg.574_#_1_#_ACTTGA_L001_R1_(paired)_contig_129,AMF
jgi|Gloin1|338796|fgenesh1_kg.5847_#_4_#_ACTTGA_L001_R1_(paired)_contig_1054,AMF
jgi|Rhicl1|27580|transcript:GBB91425,AMF
jgi|Rhidi1|749235|gm1.309_g,AMF
