ID,observed_KO,Shannon_KO,Simpson_KO
DCLX003A,2756,4.8644,0.9445
DCLX003B,796,4.1104,0.878
DCLX003C,2752,2.6719,0.6263
DCLX003D,2198,4.0619,0.8516
DCLX003E,3767,3.5149,0.7369
DCLX003F,1079,4.3934,0.8942
DCLX003G,2342,3.0467,0.7195
DCLX004A,10636,4.7442,0.8829
DCLX004B,3623,5.006,0.9332
DCLX004C,10647,5.4635,0.9371
DCLX004D,2226,5.18,0.9148
DCLX004E,1077,5.3578,0.9408
DCLX005A,7027,5.4086,0.9493
DCLX005B,6346,5.0842,0.945
DCLX005C,3864,4.2038,0.8356
DCLX005D,4779,5.0411,0.9405
DCLX005E,6352,4.9956,0.9435
DCLX006A,2166,5.3076,0.9516
DCLX006B,1015,4.7395,0.9163
DCLX006C,4762,4.908,0.9325
DCLX006D,1781,2.406,0.5458
DCLX007A,5053,4.9017,0.9372
DCLX007B,5711,5.0054,0.9358
DCLX007C,7190,5.2646,0.948
DCLX007D,3826,4.7798,0.9243
DCLX007E,1729,4.8481,0.9223
DCLX008A,4783,4.9301,0.939
DCLX008B,6040,5.224,0.9466
DCLX008C,13426,5.9999,0.9516
DCLX008D,1717,3.5354,0.8001
DCLX008E,1861,4.9951,0.9184
DCLX009A,10343,5.3574,0.9455
DCLX009B,7905,5.2885,0.9506
DCLX009C,7850,5.178,0.941
DCLX009D,1612,4.7236,0.9343
DCLX009E,2782,4.5744,0.9179
DCLX010A,8272,4.6695,0.8719
DCLX010B,4773,4.5336,0.9057
DCLX010C,2458,4.7887,0.9402
DCLX010D,3657,5.1227,0.9536
DCLX011A,6889,4.8494,0.9225
DCLX011B,9264,4.9792,0.9078
DCLX011C,3248,4.8154,0.9422
DCLX011D,5240,4.9314,0.9429
DCLX012A,7313,4.8333,0.937
DCLX012B,9665,5.0322,0.9396
DCLX012C,3133,5.1156,0.9504
DCLX012D,5186,4.8783,0.9382
SRR8743058,347,2.8533,0.7033
SRR8743059,318,1.9336,0.5637
SRR8743060,331,1.7812,0.5101
SRR8743061,165,2.4891,0.6741
SRR8743062,199,2.0512,0.5779
SRR8743063,193,2.6569,0.6542
SRR8743064,266,4.3711,0.8901
SRR8743065,185,3.6712,0.809
SRR8743066,194,2.007,0.5337
SRR8743067,231,3.1292,0.761
SRR8743068,340,2.3628,0.618
SRR8743069,200,3.131,0.7647
SRR8743070,354,2.5678,0.6421
SRR8743071,337,3.5737,0.8101
SRR8743072,285,3.7499,0.8265
SRR8743073,365,2.9825,0.7216
SRR8743074,1977,5.7071,0.9261
SRR8743075,945,4.2347,0.8203
SRR8743076,378,3.3244,0.7503
SRR8743077,490,4.1093,0.8481
SRR8743078,548,4.6239,0.8903
SRR8743079,3390,5.2866,0.8524
SRR8743080,801,4.6422,0.8929
SRR8743081,756,4.7627,0.8797
SRR8743082,784,3.4262,0.7555
SRR8743083,2252,5.878,0.9281
SRR8743084,3828,7.6175,0.9711
SRR8743085,4141,6.438,0.9167
SRR8743086,963,2.8813,0.6535
SRR8743087,2927,5.8977,0.8642
SRR8743088,2777,6.0716,0.9011
SRR8743089,5500,5.9516,0.8621
SRR8743090,7323,7.1889,0.9278
SRR8743091,852,3.3183,0.7126
SRR8743092,7468,4.5672,0.7462
SRR8743093,6636,8.4396,0.9669
SRR8743094,6854,8.3625,0.9614
SRR8743095,11655,9.3045,0.983
SRR8743096,6065,8.2212,0.9718
SRR8743097,3019,7.0973,0.9543
SRR8743098,4999,7.9398,0.9713
SRR8743099,2482,5.3905,0.8748
SRR8743100,4714,7.8174,0.9729
SRR8743102,5505,7.2363,0.9538
SRR8743103,5881,7.4852,0.9523
SRR8743104,4845,5.684,0.8849
SRR8743105,4712,6.5163,0.9101
SRR8743106,3317,3.6522,0.7142
SRR8743107,6833,5.5573,0.8314
SRR8743108,3166,5.5638,0.8696
SRR8743109,4667,6.4185,0.9039
SRR8743110,3236,4.833,0.8168
SRR8743111,1129,3.2689,0.6874
SRR8743112,2719,5.2928,0.8494
SRR8743113,3906,5.6837,0.8619
SRR8743114,4284,6.6108,0.902
SRR8743115,2268,5.1693,0.8799
SRR8743116,4448,6.5554,0.9254
SRR8743117,2466,2.6872,0.6272
SRR8743118,3390,2.3786,0.5627
SRR8743119,5107,6.5934,0.917
SRR8743120,209,2.2192,0.6047
SRR8743121,511,1.9572,0.5832
SRR8743122,456,3.0522,0.7216
SRR8743123,644,2.337,0.5735
SRR8743124,509,2.3201,0.5883
SRR8743125,189,3.0017,0.7669
SRR8743126,1147,4.9465,0.8967
SRR8743127,1361,5.3656,0.9041
SRR8743128,1322,3.2192,0.7286
SRR8743129,3763,3.2492,0.6341
SRR8743130,5160,4.5689,0.776
SRR8743131,1030,3.6558,0.7645
SRR8743132,2991,2.5798,0.6152
SRR8743133,2089,6.4605,0.9391
SRR8743134,3627,6.5393,0.9235
SRR8743135,5595,4.2257,0.7099
SRR8743136,2414,5.0503,0.8505
SRR8743137,3856,6.7482,0.9279
SRR8743138,2935,2.89,0.6108
SRR8743139,3504,7.3007,0.9584
SRR8743140,5449,7.6666,0.963
SRR8743141,3791,4.5689,0.785
SRR8743142,4655,7.9261,0.9684
SRR8743143,4888,8.0932,0.9747
SRR8743144,6961,7.6321,0.9347
SRR8743145,12352,10.0569,0.9897
SRR8743146,8312,9.1127,0.9768
SRR8743147,13418,9.4266,0.9795
SRR8743148,9036,7.0963,0.9078
SRR8743149,12096,9.3697,0.9819
SRR8743150,15072,10.5429,0.9949
SRR8743151,13233,9.216,0.9675
SRR8743152,9054,7.4285,0.9102
SRR8743153,10966,8.2161,0.9373
SRR8743154,20462,8.6075,0.9252
SRR8743155,11246,9.5443,0.9837
SRR8743156,12930,9.4234,0.98
SRR8743157,11901,9.5662,0.9831
SRR8743158,762,2.6626,0.6865
SRR8743159,618,3.2449,0.7626
SRR8743160,462,3.1666,0.7677
SRR8743161,444,2.4399,0.6222
SRR8743162,227,3.0911,0.7759
SRR8743163,156,2.8724,0.7131
SRR8743164,253,2.9889,0.7258
SRR8743165,308,3.9379,0.8663
SRR8743166,208,3.8888,0.867
SRR8743167,363,2.206,0.5549
SRR8743168,317,3.4564,0.8105
SRR8743169,400,2.5709,0.6483
SRR8743170,282,2.6102,0.6772
SRR8743171,274,3.8177,0.8298
SRR8743172,226,2.5994,0.6807
SRR8743173,488,4.0346,0.8474
SRR8743174,893,4.7027,0.8942
SRR8743175,826,4.2519,0.8716
SRR8743176,1116,4.6266,0.8775
SRR8743177,458,4.2398,0.862
SRR8743178,708,3.4726,0.7898
SRR8743179,991,4.7611,0.8912
SRR8743180,1013,4.7605,0.887
SRR8743181,523,2.2837,0.6098
SRR8743182,2506,4.0806,0.737
SRR8743183,4811,7.0938,0.9552
SRR8743184,3819,5.6345,0.8982
SRR8743185,7014,6.9996,0.935
SRR8743186,5231,5.7145,0.8561
SRR8743187,5139,6.2142,0.9034
SRR8743188,7429,8.5341,0.9752
SRR8743189,6921,7.5074,0.9373
SRR8743190,5564,6.9143,0.9148
SRR8743191,13252,6.3952,0.825
SRR8743192,9779,9.016,0.9825
SRR8743193,11008,9.4668,0.9841
SRR8743194,11789,9.717,0.9885
SRR8743195,4081,6.625,0.9307
SRR8743196,3235,5.4711,0.8786
SRR8743197,8285,8.4911,0.9708
SRR8743198,2531,6.1714,0.9484
SRR8743199,2817,6.2803,0.9334
SRR8743200,9227,7.7124,0.9504
SRR8743201,7415,7.9707,0.9642
SRR8743202,950,4.016,0.8259
SRR8743203,7227,7.5772,0.9592
SRR8743204,4543,5.6033,0.8699
SRR8743205,5478,7.0082,0.9288
SRR8743206,4923,5.2841,0.8342
SRR8743207,4933,6.7582,0.9285
SRR8743208,7249,7.579,0.9436
SRR8743209,1863,4.2853,0.773
SRR8743211,2310,4.4513,0.7998
SRR8743212,2937,3.7869,0.7465
SRR8743213,5420,7.4253,0.9477
SRR8743214,2359,5.0975,0.8395
SRR8743215,2884,5.5441,0.8943
SRR8743216,3785,3.2343,0.6869
SRR8743217,6231,4.1948,0.714
SRR8743218,3832,4.4047,0.777
SRR8743219,256,2.6758,0.7067
SRR8743220,2196,4.0529,0.8246
SRR8743221,911,3.4446,0.7698
SRR8743222,247,2.5451,0.6377
SRR8743223,275,2.6866,0.7093
SRR8743224,434,2.8334,0.7225
SRR8743225,1286,2.2642,0.581
SRR8743226,1395,4.6269,0.8854
SRR8743227,618,4.086,0.8565
SRR8743228,2768,2.1315,0.5261
SRR8743229,3337,4.0279,0.7852
SRR8743230,1461,4.2194,0.8555
SRR8743231,4783,2.8618,0.6218
SRR8743232,2747,5.1289,0.8691
SRR8743233,2290,5.7691,0.9103
SRR8743234,2405,3.3539,0.7465
SRR8743235,3300,4.4949,0.8069
SRR8743236,6365,4.176,0.7087
SRR8743237,1356,5.0082,0.8952
SRR8743238,2661,5.4472,0.893
SRR8743239,12112,9.5762,0.9893
SRR8743240,4964,6.2634,0.9257
SRR8743241,7223,8.1514,0.962
SRR8743242,12659,9.7536,0.9876
SRR8743243,8690,5.0675,0.8136
SRR8743244,9962,8.4735,0.9683
SRR8743245,12900,9.9356,0.9923
SRR8743246,14158,10.1165,0.9899
SRR8743247,12342,8.708,0.9599
SRR8743248,10970,9.0237,0.9762
SRR8743249,13757,9.66,0.9841
SRR8743250,11921,9.7161,0.9873
SRR8743251,8931,8.9789,0.9841
SRR8743252,17230,9.8689,0.984
SRR8743253,13954,9.8135,0.9865
SRR8743254,6655,7.6333,0.9436
SRR8743255,16584,10.7654,0.9957
