,Treat,Week
RCO02,Control,2
RCO03,Control,3
RCO04,Control,4
RCO05,Control,5
RCO06,Control,6
RCO07,Control,7
RCO08,Control,8
RCO09,Control,9
RCO10,Control,10
RCO11,Control,11
RCO12,Control,12
RCO13,Control,13
RCO14,Control,14
RCO15,Control,15
RCO16,Control,16
RCO17,Control,17
RPR03,Preflowering,3
RPR04,Preflowering,4
RPR05,Preflowering,5
RPR06,Preflowering,6
RPR07,Preflowering,7
RPR08,Preflowering,8
RPR09,Preflowering,9
RPR10,Preflowering,10
RPR11,Preflowering,11
RPR12,Preflowering,12
RPR13,Preflowering,13
RPR14,Preflowering,14
RPR15,Preflowering,15
RPR16,Preflowering,16
RPR17,Preflowering,17
RPO09,Postflowering,9
RPO10,Postflowering,10
RPO11,Postflowering,11
RPO12,Postflowering,12
RPO13,Postflowering,13
RPO14,Postflowering,14
RPO15,Postflowering,15
RPO16,Postflowering,16
RPO17,Postflowering,17
