Name,Group,SRR8743058,SRR8743059,SRR8743060,SRR8743061,SRR8743062,SRR8743063,SRR8743064,SRR8743065,SRR8743066,SRR8743067,SRR8743068,SRR8743069,SRR8743070,SRR8743071,SRR8743072,SRR8743073,SRR8743074,SRR8743075,SRR8743076,SRR8743077,SRR8743078,SRR8743079,SRR8743080,SRR8743081,SRR8743082,SRR8743083,SRR8743084,SRR8743085,SRR8743086,SRR8743087,SRR8743088,SRR8743089,SRR8743090,SRR8743091,SRR8743092,SRR8743093,SRR8743094,SRR8743095,SRR8743096,SRR8743097,SRR8743098,SRR8743099,SRR8743100,SRR8743101,SRR8743102,SRR8743103,SRR8743104,SRR8743105,SRR8743106,SRR8743107,SRR8743108,SRR8743109,SRR8743110,SRR8743111,SRR8743112,SRR8743113,SRR8743114,SRR8743115,SRR8743116,SRR8743117,SRR8743118,SRR8743119,SRR8743120,SRR8743121,SRR8743122,SRR8743123,SRR8743124,SRR8743125,SRR8743126,SRR8743127,SRR8743128,SRR8743129,SRR8743130,SRR8743131,SRR8743132,SRR8743133,SRR8743134,SRR8743135,SRR8743136,SRR8743137,SRR8743138,SRR8743139,SRR8743140,SRR8743141,SRR8743142,SRR8743143,SRR8743144,SRR8743145,SRR8743146,SRR8743147,SRR8743148,SRR8743149,SRR8743150,SRR8743151,SRR8743152,SRR8743153,SRR8743154,SRR8743155,SRR8743156,SRR8743157,SRR8743158,SRR8743159,SRR8743160,SRR8743161,SRR8743162,SRR8743163,SRR8743164,SRR8743165,SRR8743166,SRR8743167,SRR8743168,SRR8743169,SRR8743170,SRR8743171,SRR8743172,SRR8743173,SRR8743174,SRR8743175,SRR8743176,SRR8743177,SRR8743178,SRR8743179,SRR8743180,SRR8743181,SRR8743182,SRR8743183,SRR8743184,SRR8743185,SRR8743186,SRR8743187,SRR8743188,SRR8743189,SRR8743190,SRR8743191,SRR8743192,SRR8743193,SRR8743194,SRR8743195,SRR8743196,SRR8743197,SRR8743198,SRR8743199,SRR8743200,SRR8743201,SRR8743202,SRR8743203,SRR8743204,SRR8743205,SRR8743206,SRR8743207,SRR8743208,SRR8743209,SRR8743210,SRR8743211,SRR8743212,SRR8743213,SRR8743214,SRR8743215,SRR8743216,SRR8743217,SRR8743218,SRR8743219,SRR8743220,SRR8743221,SRR8743222,SRR8743223,SRR8743224,SRR8743225,SRR8743226,SRR8743227,SRR8743228,SRR8743229,SRR8743230,SRR8743231,SRR8743232,SRR8743233,SRR8743234,SRR8743235,SRR8743236,SRR8743237,SRR8743238,SRR8743239,SRR8743240,SRR8743241,SRR8743242,SRR8743243,SRR8743244,SRR8743245,SRR8743246,SRR8743247,SRR8743248,SRR8743249,SRR8743250,SRR8743251,SRR8743252,SRR8743253,SRR8743254,SRR8743255
jgi|Rhicl1|10412|transcript:GBB86153,AMF_cytoskeleton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99877,0,0,0,0,3.88772,0,0,0,0,1.63724,4.80495,0,3.41826,3.54013,1.14875,2.39054,0,1.1559,3.52583,2.45253,4.12613,0,0,0,0,3.70057,1.4316,2.13853,1.70365,0.939656,1.64706,0.604525,0.778089,0,1.80807,0,0,0,0.729983,0,1.18816,2.03751,0,0,6.39133,0,0,0,0,0,0,0,1.61422,0,1.0803,1.8317,0,0.232668,0,3.39037,0,0,0,0.744571,0,4.31076,0.689241,1.21688,1.24779,2.98667,4.24843,4.0328,5.20922,2.24332,1.8115,4.3617,2.73398,0.594953,4.92046,1.85719,4.35131,5.65769,1.63804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72572,0,0,4.31893,1.98901,4.31974,3.97205,2.50684,2.16197,1.23637,0.81902,2.55952,1.98064,2.04971,7.86812,0,1.0101,7.56192,0,0,4.0526,2.28846,0,4.45905,2.34732,9.84053,2.91874,4.62633,5.30342,0,1.92516,1.75538,1.10354,6.31855,0,0,2.31726,0.899647,1.16488,0,0,2.00317,0,0,0,0,1.31322,0,0,1.22246,0,0.477031,0,1.44561,0,1.33491,1.5695,0,0,2.46422,0,1.58445,10.5101,1.30863,2.2574,3.98331,6.72597,3.89926,10.2136,7.85648,6.90216,1.12702,3.09223,10.5626,1.21507,6.42198
jgi|RhiirB3|384015|fgenesh1_pg.284_#_3,AMF_cytoskeleton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11826,0,0,0,0,2.81581,1.98148,0,1.31201,7.61294,12.1568,8.96803,0,0,9.08563,0,4.64339,0,0.98697,8.96412,9.88421,11.2828,0,0,6.6998,0,3.55094,3.037,3.40303,6.3257,8.07722,3.49461,0.641317,2.93381,1.87338,2.45028,1.71196,0.557311,0,3.09764,1.20567,0,1.08076,0,0.375946,10.7456,0,0,0,0,0,0,0,1.71168,0,0,1.32617,0,0.740485,2.0318,5.99452,0.558045,0,0,0.892334,7.36763,0,0,2.58123,9.26616,8.53803,13.6532,10.338,0.006043,3.82045,5.02898,12.8378,2.12468,4.83475,8.53319,5.92154,12.4061,11.3483,9.24483,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8973,0,0,1.61701,0,1.57393,0,0,0,1.82912,0,0,9.26542,0,5.74509,1.71412,3.32427,8.64772,8.16897,5.2132,0.492778,8.49228,10.064,6.75202,6.83221,4.28629,19.2417,1.66452,0,4.24613,10.6393,0,0,5.81042,0,1.85783,0,7.43329,0,5.08659,0,1.95791,11.2102,4.84424,3.91989,0,0,0,0,3.30531,0,0,0,0,0,1.39314,0,0.281024,0.648212,0,0.512057,0.895319,0,0,2.83087,0.920469,0,2.67472,13.8271,0,5.04265,4.12958,1.26783,7.20E-05,6.91411,8.79644,7.87109,6.58535,1.70E-05,9.07341,3.97501,15.6744,10.5131,6.48847,12.8702
jgi|Gloin1|337785|fgenesh1_kg.4638_#_4_#_ACTTGA_L001_R1_(paired)_contig_5107,AMF_cytoskeleton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2056,0,0,0,0,3.32106,0,0,0,12.7553,28.9518,3.92625,0,18.2205,39.3409,4.08217,5.69109,0,0,3.89048,0,3.37709,0,0,3.74039,0,0,0,0,0,2.76322,0,0,0,0,5.65119,0,0,0,0,0,0,0,0,0,6.66004,0,0,3.74063,0,2.45396,0,0,0,7.46574,0,3.12943,0,0,0,12.0479,4.13228,0,0,0,16.442,0,7.3478,12.9729,0,0,7.31362,0,4.64039,2.65727,2.32829,3.33831,0,0,0,0.623046,0,4.46819,1.70977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06809,16.264,5.18799,4.45413,11.3218,4.39353,0,0,2.13288,3.9036,7.60955,5.73017,0,46.8722,0,0,0,5.42147,0,5.28185,0,4.37113,0,0,2.58417,0,0.064133,0,0,0,0,0,1.17637,3.19696,2.06975,0,0,14.2368,0,0,1.54959,0,4.66661,0,1.41202,2.17205,0,2.48684,0,0,1.28051,11.3821,3.17422,0,8.95951,9.09768,0,8.44568,17.099,4.98039,7.36801,6.35671,15.2154,9.82054,9.34519,11.3078,0,0,3.11672,1.84837,14.6033,6.23074
jgi|Rhicl1|7759|transcript:GBB85555,AMF_cytoskeleton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.20292,0,0,0,0,0,0,0,0,0,2.58307,0,0,0.649789,13.1458,8.55113,6.41075,0,14.3467,4.7336,0,5.54737,0,4.80868,0,0,3.70356,2.71865,0,7.9416,7.15179,0,0,10.4429,9.84858,20.449,0,9.16305,0,0,12.6428,0,0,0,0,0,0,8.20834,0,0,0,3.96041,6.05761,0,0,0,0,0,0,1.26181,0,0,3.09964,0,11.2231,3.59161,0,12.2398,5.60955,1.68143,7.36634,2.94067,3.54176,7.72139,15.1504,10.6341,11.6557,7.53955,2.16377,0,3.6009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.68627,0,0,0,5.58037,0,5.88078,0,8.45529,0,11.1204,3.68327,4.38368,0,2.47007,7.22262,16.1528,0,3.34416,0,0,3.69864,6.86107,0,6.68438,3.51877,6.46392,0,9.48158,0,8.81125,0,0,0,5.50052,0,6.22063,0,1.34862,5.23869,4.11819,0,0,0,2.97397,0,0,0,0,0.595654,0,4.95821,1.79929,3.79612,6.50114,0,6.0033,1.33903,0,0,5.75672,3.83311,0,7.21313,1.05048,3.72979,6.03348,19.906,18.2388,16.5574,6.30298,10.1327,14.4762,9.46639,7.02684,11.5534,12.6164
jgi|Rhice1_1|772602|fgenesh1_kg.220_#_30_#_TRINITY_DN19441_c2_g1_i1,AMF_cytoskeleton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7518,0,0,0,0,0,0,0,4.98803,9.74082,0,6.54706,6.08498,0,0,0,0,5.41624,0,0,0,0,0,0,6.09405,0,0,0,0,0,0,4.53174,3.6717,0,0,0,0,0,5.80618,0,0,11.5762,0,0,0,0,0,0,20.8049,0,0,2.05231,0,0,1.32604,10.9243,0,0,0,0,0,0,20.5453,0,0,0,5.18152,27.2951,4.39654,6.51443,2.13089,1.86708,6.76593,6.23973,0,2.1435,5.4165,17.7255,12.4487,2.74215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.07909,13.0441,9.33565,1.85181,10.9928,6.26066,6.50539,0,11.5137,4.23807,0,0,7.86661,5.84699,0,0,0,0,0,0,0,0,20.5424,0,0,0,0,0,3.77335,3.41823,3.31951,0,0.199479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39392,0,0,12.1592,7.08664,11.0789,11.4265,3.99382,2.36339,2.86576,25.2728,18.5718,17.2584,5.44068,8.14105,3.21162,5.30914,8.90514,14.6416,10.7305
jgi|RhiirA5|452252|MIX3897_5807_80,AMF_cytoskeleton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0833,0,23.3001,0,2.61007,0,0,1.84804,0,0,7.27954,3.95888,0,4.78314,25.3634,28.0263,0,4.85901,0,14.1342,0,0,5.70286,0,0,0,0,0,10.1669,5.16576,10.7986,27.7769,1.26443,0,4.25837,0,0,0,0,0,0,0,0,9.54704,0,4.00178,0,0,0,0,2.40063,0,0,0,0,16.3815,6.26415,0,0,3.62916,0,0,2.51571,5.09709,12.8947,0.001458,4.98344,1.56659,22.3084,6.46493,11.0007,0,10.3001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.76665,0,0,0,0,9.03849,8.54578,3.31711,0,0,7.67412,7.44363,7.68846,8.18247,11.3499,0,0,0,13.5166,28.542,7.53432,0,10.3993,0,9.22573,7.11118,0,0,14.3712,0,2.96782,0,0,2.50737,16.6742,17.5727,16.802,0,1.36274,0,0,3.14017,0,0,0,0,0,5.96748,0,0.601888,0,5.00995,1.8181,0,6.56918,1.63746,6.06596,1.35304,0,0,16.5218,11.6197,0,6.42931,2.14592,10.7775,14.2255,0,9.42932,13.3944,0,5.24678,20.9179,8.7103,7.93302,29.0735,20.9083
jgi|Rhice1_1|759149|fgenesh1_kg.72_#_20_#_TRINITY_DN8076_c0_g1_i1,AMF_cytoskeleton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.9632,0,0,0,7.38406,9.17125,0,5.20525,9.40433,24.4999,8.95385,9.22882,0,0.098885,0,0,12.2974,0,8.14362,0,0,0,3.49081,0,0,0,0,0,12.541,0,0,20.9798,0,0,0,0,0,0,0,0,0,0,0,0.089762,3.09322,3.78233,0,0,0,0,0,0,8.60547,0,0,20.5319,0,10.453,0,6.86024,0,8.81756,8.27854,3.21166,8.92109,38.4549,10.8514,11.0449,7.60232,5.33977,17.1491,19.3593,13.3873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1928,0,0,0,6.84198,0.047656,7.03532,1.39552,12.3006,0,12.1352,0,12.9856,0,0,0,18.8793,13.1051,0,12.7676,0,0,10.0287,0,0,0,0,0,0,10.5064,0,0,0,0,0,0,0,0.032435,0,0,0,0,0,0,0,0,0,0,9.64845,12.4176,0,0,0,0,0,23.0761,7.32151,32.6529,9.27798,0,6.22588,21.9406,22.9784,13.2499,0,8.20016,18.4242,18.1838,9.8442,3.90881,7.35592,28.0282
jgi|Rhidi1|769368|gm1.20442_g,AMF_cytoskeleton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8884,0,0,0,0,12.4679,0,0,0,0,0,0,0,0,7.03302,3.20E-05,16.6175,4.08155,2.68924,6.47522,16.9112,24.572,3.90E-05,14.1864,0,0.000453,0.000879,0,4.75495,22.7281,0,0,2.68828,10.6837,15.7057,14.1438,0,0,0,9.52787,0,10.5673,0,1.80E-05,0.787946,0,0,0,0,0,0,0,0,0,0,0,7.20E-05,0,0,0,0,6.97119,0,0,0,0,0,0,0,0,3.90E-05,12.1892,0,7.24017,0,9.23349,20.5231,9.13205,13.7372,2.36956,13.7174,9.98066,11.183,4.89761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.40E-05,0,0,8.46304,0,5.40E-05,20.7126,3.90E-05,16.7216,17.7101,14.4824,1.70E-05,9.09252,0,20.6453,38.0902,26.6206,4.49183,2.30E-05,0.001506,5.70E-05,9.77363,2.40E-05,0,17.4106,1.10E-05,31.8984,17.5775,1.00E-05,35.5721,0,2.6714,11.7091,0,6.30E-05,16.6472,8.16229,0,1.33356,7.77024,0,5.10E-05,0,0,0,0,0,9.80E-05,0,0,8.15428,0.000151,2.20E-05,7.5074,0,3.10E-05,0.000164,4.00E-06,0,16.8179,23.6788,0,17.6148,6.19032,2.055,4.20574,0,8.0738,17.821,12.6205,21.3879,14.9046,9.60082,16.4379,11.3448,13.4382,20.0845
jgi|Rhidi1|625846|e_gw1.253.64.1,AMF_cytoskeleton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4591,32.2491,0,0,0,9.31566,11.5472,0,0,0,3.29714,6.13277,0,0,8.99996,15.4325,4.20457,0,0,12.0843,0,0,0,0,0,0,14.1821,0,0,0,0,0,0,0,0,0,0,0,0,1.4566,29.7962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.4892,4.98885,0,21.4885,0,6.2485,22.9715,6.56903,0,3.4503,0,5.65404,0,11.6614,2.67905,35.6209,24.7394,15.3153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.4332,0,0,0,28.4921,0,11.2597,10.5331,0,0,0,0,7.5074,0,10.2888,12.1477,0,0,34.1361,0,0,18.742,8.75776,0,5.00562,7.59935,22.5202,0,0,10.6059,0,0,0,0,28.0844,0,0,3.80056,7.32108,13.3738,0,7.73269,0,0,0,2.50318,0,0,0,1.52063,3.50869,6.32887,0,0,0,0,0,2.21077,0,0,24.5655,14.3229,10.0523,29.3017,10.2548,7.01183,5.06483,32.2108,15.4664,18.2433,30.3937,15.8106,6.46955,31.4156,11.2495,24.5787,29.4567
jgi|RhiirA4|392105|fgenesh1_kg.27_#_80_#_TR131|c0_g1_i1,AMF_cytoskeleton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6993,0,0,0,0,0,0,0,16.5949,0,35.3368,21.7993,5.56131,24.492,0,6.97046,11.8304,26.7847,11.3259,12.0082,21.9859,0,0,25.5035,0,22.1074,5.8706,5.35897,0,4.16625,0,0,0,0,0,10.6689,10.0617,15.6687,8.18853,0,0,1.91468,27.7277,0,0,0,0,0,0,0,0,7.2395,0,0,9.28308,1.60349,0,14.4001,2.40744,0,0,0,0,0,0,0,0,32.2625,25.4655,20.2689,6.5386,15.4604,6.33753,27.4439,24.7051,0,5.19277,6.82145,3.67535,21.6811,14.7719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8539,0,36.318,17.2766,38.4256,5.5286,5.6445,20.7377,40.4816,14.1446,30.5721,16.5025,6.96136,20.5149,0,11.4266,0.219345,0,0,23.8709,3.38333,15.3495,0,29.0604,3.16195,0,0,0,0,0,10.49,0,0,5.67753,0,0,4.76245,0,0,0,0,3.64433,9.0504,0,0.91282,0,0,6.89339,0,0,0,4.59993,2.82021,0,8.68801,34.0484,9.47951,27.7034,32.6472,0,0.196013,15.1102,13.3917,21.7407,22.2231,21.4293,23.9692,0,14.5609,48.4124,0,47.0505
