,Group_2,Group_1,RCO02,RCO03,RCO04,RCO05,RCO06,RCO07,RCO08,RCO09,RCO10,RCO11,RCO12,RCO13,RCO14,RCO15,RCO16,RCO17,RPR03,RPR04,RPR05,RPR06,RPR07,RPR08,RPR09,RPR10,RPR11,RPR12,RPR13,RPR14,RPR15,RPR16,RPR17,RPO09,RPO10,RPO11,RPO12,RPO13,RPO14,RPO15,RPO16,RPO17,ZCO03,ZCO04,ZCO08,ZCO09,ZCO10,ZCO11,ZPR03,ZPR04,ZPR08,ZPR09,ZPR10,ZPO10,ZPO11,SCO04,SCO08,SCO09,SCO10,SCO11,SPR04,SPR08,SPR09,SPR10,SPO10,SPO11
jgi.Rhice1_1.726182.estExt_Genewise1Plus.C_2670020,MAPK,MAPK,0.877596667,0,0,0,0.002402667,4.085375,3.066833333,3.752868333,0,8.147493333,26.88492,9.699385,10.9968,18.930294,11.5529,11.39704333,0,0,0,0,0,0,0,2.734983333,0,0,0,0,0,2.53704,4.930518333,5.09905,3.609866667,4.725216667,7.2301,3.085,6.9809,5.656033333,4.844195,0,0,0,0,0.3325885,0.484765,0,0,0,0,0,0,0,0.4335285,0.57719,0.928385,0,0.541295,1.826975,0,0,0,0.4442675,0,0
jgi.Rhiir2_1.1765895.gm1.4649_g,MAPK,MAPK,0.413695,0,0.9526167,2.5174333,2.2937333,0,0,1.792725,2.71643,1.73736,2.844454,4.3251733,5.75283,2.08684,1.21024,6.3274533,0,0,0,0,0,0,0,0,0,0,2.7735,3.296465,0,2.689425,5.0611767,0,2.9237267,0,13.46271,0.5606233,6.01895,0.8287217,0,5.5037,0,0,0,0,0.2446825,0,0,0,0,0,0.2360375,0,0.456346,0,0,0.2627165,0,0.7166495,0.559498,0,0,0.219532,0,0.15079
jgi.Rhice1_1.729236.estExt_Genewise1Plus.C_6080026,MAPK,MAPK,1.459735,0,0,0,0,0,0,0,0,0,2.40112,0,0,0.327896,0,2.1654317,0,0,0,0,0,0,0,0,0,0,0,0,1.2473625,0,0.8339233,1.357085,0,0,11.54555,1.8833667,3.71585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2040865,0.294513,0,0,0.628083,0,0,0,0,0
jgi.Gloin1.309151.CE209027_422,MAPK,MAPK,6.83E-06,0,4.62E-05,0.000533,0.0001505,0,0,7.92E-05,0.0003275,3.92E-05,0.0000032,4.12E-05,0.0001035,0.0000104,0.000004,0.0000435,0,0,0,0,0,0,0,0,0,0,9.48E-05,0.0000135,0,0.0000375,0.000078,0,0.000415667,0,0.0004235,3.33E-06,0.0003395,1.37E-05,0,9.93E-05,0,0,0,0,0.0000145,0,0,0,0,0,0.0000215,0,0.0000105,0,0,0.0000085,0,0.000075,0.000014,0,0,0.000019,0,0.0000015
jgi.Rhidi1.756010.gm1.7084_g,AMT,AMT,0,0,0,2.61985,7.4777,3.59182,5.26484,13.8361283,10.6280283,12.1099383,24.65357,29.54355,49.0026,35.07656,24.5021,38.4159167,0,0,0,0,0,0,0.992755,1.86445,0,12.9359333,2.6087667,32.55615,26.931325,6.59111,26.4864,16.3037517,11.019265,0,9.36575,0,8.7046,1.1984467,3.30231,0,1.57156,0,0.3904645,1.363905,1.0325,0.661308,0,0.382365,0,0,0.999265,0,0.6285405,2.879695,0.513125,0.370605,0.3805125,2.680895,7.459715,0,9.335225,0.3127035,0,0.614331
jgi.Rhidi1.762053.gm1.13127_g,AMT,AMT,1.230445,0,0,0,0,0,0,0,2.6261333,1.7810567,4.14998,11.3572133,14.10215,10.607766,16.1979,9.631085,0,0,0,0,0,0,0,0,0,5.94865,3.8710617,8.437315,5.18793,4.999425,17.1900833,8.7045667,0,2.7873733,0,0,0,0,0,0,0,0,0.4006605,0,0,0.207758,0,0.3923325,0,0,1.436765,0,0,0.416277,0,0.3802545,1.9528,1.361475,1.2979405,0,0.67611,0.320958,0,0
jgi.RhiirA5.494804.estExt_Genemark1.C_970016,AQPF,AQPF,5.725705,0,4.3553,0,3.783412,8.0423,28.70107,28.654785,76.32885,91.758833,145.55988,146.678267,114.28365,118.9644,134.019,150.982833,0,0,0,0,0,0,16.88875,5.327517,0.693145,38.653667,28.743717,68.660715,38.313835,100.02005,169.79255,76.2084,29.243317,15.344967,32.11645,12.890873,40.9291,6.440133,10.305785,12.649567,0,0,0.51106,0,1.201734,0.264875,0,0,0,0,0.608805,0,0.802225,2.66401,0,0.96928,0.359258,3.314231,8.69149,0,7.13974,0.410625,0.95688,0.79058
jgi.Rhice1_1.706192.estExt_Genewise1.C_120022,AQPF,AQPF,0,0,0,0,1.4851533,0,0,0.9463533,11.2417983,10.2908917,23.063688,22.9241083,12.6743,9.283448,11.8358,20.9067,0,0,0,0,0,0,0,0,0,0,2.4621,8.0596,14.7845,0,31.168005,0,6.0138,12.6657167,0,3.5555833,0,6.5188167,0,3.43615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5052,0,0
jgi.Rhidi1.767359.gm1.18433_g,AQPF,AQPF,0.6001667,0,0,0,1.4732917,0,0,0,2.3809167,2.4790667,1.85218,2.87646,2.713275,0,0,11.0057767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2116183,1.7311333,0,0,0,0,0,0,0,0,0,0,0,0,0.3088155,0,0,0,0,0,0,0,0,0,0,0,0,0.32393,0,0,1.370735,0,0,0
jgi.RhiirA4.478708.gm1.28504_g,AQPF,AQPF,0.02995733,0,0,0,0.10426633,0,0,0,0.2712375,0.16084083,0.9531406,0.62720083,1.1006165,1.0148384,0.344033,0.80853517,0,0,0,0,0,0,0,0,0,0.31160167,0,0.3234275,0.6645125,0,0.5848225,0.11173933,0,0,0,0,0,0,0,0,0,0,0,0,0.0292675,0,0,0,0,0,0,0,0,0,0,0.1028405,0,0.2003135,0,0,0.1034295,0,0,0
