Name,Compartment,Treat,Week,Group,Group_1,ID_its,ID_its_2,Group_common,Cultivar,plot
SRR8743058,Root,Preflowering,TP03,RPR03,Root_Preflowering_TP03,TP03R5,TP3R5,1,t430,5
SRR8743059,Root,Preflowering,TP03,RPR03,Root_Preflowering_TP03,TP03R13,TP3R13,1,t430,13
SRR8743060,Root,Preflowering,TP03,RPR03,Root_Preflowering_TP03,TP03R18,TP3R18,1,t430,18
SRR8743061,Root,Preflowering,TP04,RPR04,Root_Preflowering_TP04,TP04R5,TP4R5,1,t430,5
SRR8743062,Root,Preflowering,TP04,RPR04,Root_Preflowering_TP04,TP04R13,TP4R13,1,t430,13
SRR8743063,Root,Preflowering,TP04,RPR04,Root_Preflowering_TP04,TP04R18,TP4R18,1,t430,18
SRR8743064,Root,Preflowering,TP05,RPR05,Root_Preflowering_TP05,TP05R13,TP5R13,1,t430,13
SRR8743065,Root,Preflowering,TP05,RPR05,Root_Preflowering_TP05,TP05R18,TP5R18,1,t430,18
SRR8743066,Root,Preflowering,TP05,RPR05,Root_Preflowering_TP05,TP05R5,TP5R5,1,t430,5
SRR8743067,Root,Preflowering,TP06,RPR06,Root_Preflowering_TP06,TP06R13,TP6R13,1,t430,13
SRR8743068,Root,Preflowering,TP06,RPR06,Root_Preflowering_TP06,TP06R5,TP6R5,1,t430,5
SRR8743069,Root,Preflowering,TP06,RPR06,Root_Preflowering_TP06,TP06R18,TP6R18,1,t430,18
SRR8743070,Root,Preflowering,TP07,RPR07,Root_Preflowering_TP07,TP07R5,TP7R5,1,t430,5
SRR8743071,Root,Preflowering,TP08,RPR08,Root_Preflowering_TP08,TP08R13,TP8R13,1,t430,13
SRR8743072,Root,Preflowering,TP08,RPR08,Root_Preflowering_TP08,TP08R5,TP8R5,1,t430,5
SRR8743073,Root,Preflowering,TP08,RPR08,Root_Preflowering_TP08,TP08R18,TP8R18,1,t430,18
SRR8743074,Root,Preflowering,TP09,RPR09,Root_Preflowering_TP09,TP09R5,TP9R5,1,t430,5
SRR8743075,Root,Preflowering,TP09,RPR09,Root_Preflowering_TP09,TP09R13,TP9R13,1,t430,13
SRR8743076,Root,Preflowering,TP09,RPR09,Root_Preflowering_TP09,TP09R18,TP9R18,1,t430,18
SRR8743077,Root,Preflowering,TP10,RPR10,Root_Preflowering_TP10,TP10R13,TP10R13,1,t430,13
SRR8743078,Root,Preflowering,TP10,RPR10,Root_Preflowering_TP10,TP10R5,TP10R5,1,t430,5
SRR8743079,Root,Preflowering,TP10,RPR10,Root_Preflowering_TP10,TP10R18,TP10R18,1,t430,18
SRR8743080,Root,Preflowering,TP11,RPR11,Root_Preflowering_TP11,TP11R13,TP11R13,1,t430,13
SRR8743081,Root,Preflowering,TP11,RPR11,Root_Preflowering_TP11,TP11R5t,TP11R5,1,t430,5
SRR8743082,Root,Preflowering,TP11,RPR11,Root_Preflowering_TP11,TP11R18,TP11R18,1,t430,18
SRR8743083,Root,Preflowering,TP12,RPR12,Root_Preflowering_TP12,TP12R18,TP12R18,1,t430,18
SRR8743084,Root,Preflowering,TP12,RPR12,Root_Preflowering_TP12,TP12R13,TP12R13,1,t430,13
SRR8743085,Root,Preflowering,TP12,RPR12,Root_Preflowering_TP12,TP12R5,TP12R5,1,t430,5
SRR8743086,Root,Preflowering,TP13,RPR13,Root_Preflowering_TP13,TP13R13,TP13R13,1,t430,13
SRR8743087,Root,Preflowering,TP13,RPR13,Root_Preflowering_TP13,TP13R5,TP13R5,1,t430,5
SRR8743088,Root,Preflowering,TP13,RPR13,Root_Preflowering_TP13,TP13R18,TP13R18,1,t430,18
SRR8743089,Root,Preflowering,TP14,RPR14,Root_Preflowering_TP14,TP14R5,TP14R5,1,t430,5
SRR8743090,Root,Preflowering,TP15,RPR15,Root_Preflowering_TP15,TP15R5,TP15R5,1,t430,5
SRR8743091,Root,Preflowering,TP15,RPR15,Root_Preflowering_TP15,TP15R13,TP15R13,1,t430,13
SRR8743092,Root,Preflowering,TP16,RPR16,Root_Preflowering_TP16,TP16R5,TP16R5,1,t430,5
SRR8743093,Root,Preflowering,TP17,RPR17,Root_Preflowering_TP17,TP17R18,TP17R18,1,t430,18
SRR8743094,Root,Preflowering,TP17,RPR17,Root_Preflowering_TP17,TP17R13,TP17R13,1,t430,13
SRR8743095,Root,Preflowering,TP17,RPR17,Root_Preflowering_TP17,TP17R5,TP17R5,1,t430,5
SRR8743096,Root,Postflowering,TP09,RPO09,Root_Postflowering_TP09,TP09R3,TP9R3,1,t430,3
SRR8743097,Root,Postflowering,TP09,RPO09,Root_Postflowering_TP09,TP09R22,TP9R22,1,t430,22
SRR8743098,Root,Postflowering,TP09,RPO09,Root_Postflowering_TP09,TP09R16,TP9R16,1,t430,16
SRR8743099,Root,Postflowering,TP10,RPO10,Root_Postflowering_TP10,TP10R3,TP10R3,1,t430,3
SRR8743100,Root,Postflowering,TP10,RPO10,Root_Postflowering_TP10,TP10R22,TP10R22,1,t430,22
SRR8743101,Root,Postflowering,TP10,RPO10,Root_Postflowering_TP10,TP10R16,NA,NA,NA,NA
SRR8743102,Root,Postflowering,TP11,RPO11,Root_Postflowering_TP11,TP11R03z,TP11R3,1,t430,3
SRR8743103,Root,Postflowering,TP11,RPO11,Root_Postflowering_TP11,TP11R22z,TP11R22,1,t430,22
SRR8743104,Root,Postflowering,TP11,RPO11,Root_Postflowering_TP11,TP11R16,TP11R16,1,t430,16
SRR8743105,Root,Postflowering,TP12,RPO12,Root_Postflowering_TP12,TP12R22,TP12R22,1,t430,22
SRR8743106,Root,Postflowering,TP13,RPO13,Root_Postflowering_TP13,TP13R3,TP13R3,1,t430,3
SRR8743107,Root,Postflowering,TP13,RPO13,Root_Postflowering_TP13,TP13R16,TP13R16,1,t430,16
SRR8743108,Root,Postflowering,TP13,RPO13,Root_Postflowering_TP13,TP13R22,TP13R22,1,t430,22
SRR8743109,Root,Postflowering,TP14,RPO14,Root_Postflowering_TP14,TP14R22,TP14R22,1,t430,22
SRR8743110,Root,Postflowering,TP15,RPO15,Root_Postflowering_TP15,TP15R3,TP15R3,1,t430,3
SRR8743111,Root,Postflowering,TP15,RPO15,Root_Postflowering_TP15,TP15R16,TP15R16,1,t430,16
SRR8743112,Root,Postflowering,TP15,RPO15,Root_Postflowering_TP15,TP15R22,TP15R22,1,t430,22
SRR8743113,Root,Postflowering,TP16,RPO16,Root_Postflowering_TP16,TP16R22,TP16R22,1,t430,22
SRR8743114,Root,Postflowering,TP17,RPO17,Root_Postflowering_TP17,TP17R22,TP17R22,1,t430,22
SRR8743115,Root,Postflowering,TP17,RPO17,Root_Postflowering_TP17,TP17R3,TP17R3,1,t430,3
SRR8743116,Root,Postflowering,TP17,RPO17,Root_Postflowering_TP17,TP17R16,TP17R16,1,t430,16
SRR8743117,Root,Control,TP02,RCO02,Root_Control_TP02,TP02R12,TP2R12,1,t430,12
SRR8743118,Root,Control,TP02,RCO02,Root_Control_TP02,TP02R20,TP2R20,1,t430,20
SRR8743119,Root,Control,TP02,RCO02,Root_Control_TP02,TP02R1,TP2R1,1,t430,1
SRR8743120,Root,Control,TP03,RCO03,Root_Control_TP03,TP03R12,TP3R12,1,t430,12
SRR8743121,Root,Control,TP03,RCO03,Root_Control_TP03,TP03R20,TP3R20,1,t430,20
SRR8743122,Root,Control,TP03,RCO03,Root_Control_TP03,TP03R1,TP3R1,1,t430,1
SRR8743123,Root,Control,TP04,RCO04,Root_Control_TP04,TP04R12,TP4R12,1,t430,12
SRR8743124,Root,Control,TP04,RCO04,Root_Control_TP04,TP04R20,TP4R20,1,t430,20
SRR8743125,Root,Control,TP04,RCO04,Root_Control_TP04,TP04R1,TP4R1,1,t430,1
SRR8743126,Root,Control,TP05,RCO05,Root_Control_TP05,TP05R1,TP5R1,1,t430,1
SRR8743127,Root,Control,TP05,RCO05,Root_Control_TP05,TP05R20,TP5R20,1,t430,20
SRR8743128,Root,Control,TP05,RCO05,Root_Control_TP05,TP05R12,TP5R12,1,t430,12
SRR8743129,Root,Control,TP06,RCO06,Root_Control_TP06,TP06R12,TP6R12,1,t430,12
SRR8743130,Root,Control,TP06,RCO06,Root_Control_TP06,TP06R20,TP6R20,1,t430,20
SRR8743131,Root,Control,TP06,RCO06,Root_Control_TP06,TP06R1,TP6R1,1,t430,1
SRR8743132,Root,Control,TP07,RCO07,Root_Control_TP07,TP07R12,TP7R12,1,t430,12
SRR8743133,Root,Control,TP08,RCO08,Root_Control_TP08,TP08R12,TP8R12,1,t430,12
