ID,Subject id,Kingdom,Subphylum,Class,Order,Family,Genus,% identity
OTU270,EUK0301542,k__Fungi,p__Aphelidiomycota,c__Aphelidiomycetes,o__Aphelidiales,f__unclassified,g__unclassified,93.252
OTU1214,EUK1100851,k__Fungi,p__Aphelidiomycota,c__Aphelidiomycetes,o__Aphelidiales,f__Aphelidiaceae,g__Paraphelidium,95.238
OTU258,EUK0301525,k__Fungi,p__Aphelidiomycota,c__GS16,o__GS16,f__unclassified,g__unclassified,92.982
OTU247,EUK1636942,k__Fungi,p__Aphelidiomycota,c__GS16,o__GS16,f__unclassified,g__unclassified,98.798
OTU471,EUK0133701,k__Fungi,p__Aphelidiomycota,c__GS16,o__GS16,f__unclassified,g__unclassified,93.431
OTU1233,EUK0133701,k__Fungi,p__Aphelidiomycota,c__GS16,o__GS16,f__unclassified,g__unclassified,90.813
OTU272,EUK1120805,k__Fungi,p__Aphelidiomycota,c__GS16,o__GS16,f__unclassified,g__unclassified,81.141
OTU377,EUK1138058,k__Fungi,p__Aphelidiomycota,c__GS16,o__GS16,f__unclassified,g__unclassified,99.537
OTU295,MK018416,k__Fungi,p__Aphelidiomycota,c__unclassified,o__unclassified,f__unclassified,g__unclassified,100
OTU625,EUK0038271,k__Fungi,p__Aphelidiomycota,c__unclassified,o__unclassified,f__unclassified,g__unclassified,99.059
OTU457,EUK0080664,k__Fungi,p__Aphelidiomycota,c__unclassified,o__unclassified,f__unclassified,g__unclassified,98.187
OTU1198,EUK0080661,k__Fungi,p__Aphelidiomycota,c__unclassified,o__unclassified,f__unclassified,g__unclassified,99.695
OTU749,MK018773,k__Fungi,p__Ascomycota,c__Arthoniomycetes,o__Lichenostigmatales,f__Phaeococcomycetaceae,g__Phaeococcomyces,100
OTU731,MT821179,k__Fungi,p__Ascomycota,c__Arthoniomycetes,o__unclassified,f__unclassified,g__unclassified,96.839
OTU1257,MT821179,k__Fungi,p__Ascomycota,c__Arthoniomycetes,o__unclassified,f__unclassified,g__unclassified,95.101
OTU1247,GU721967,k__Fungi,p__Ascomycota,c__Arthoniomycetes,o__Lichenostigmatales,f__Phaeococcomycetaceae,g__unclassified,93.586
OTU1011,KF983522,k__Fungi,p__Ascomycota,c__Arthoniomycetes,o__Lichenostigmatales,f__unclassified,g__unclassified,97.688
OTU595,MK019058,k__Fungi,p__Ascomycota,c__Arthoniomycetes,o__Lichenostigmatales,f__Phaeococcomycetaceae,g__Phaeococcomyces,100
OTU1187,MG760996,k__Fungi,p__Ascomycota,c__Arthoniomycetes,o__Lichenostigmatales,f__Phaeococcomycetaceae,g__unclassified,99.711
